,wl,power
161,461,1.5663266313403155e-06
162,462,1.7993109677504487e-06
163,463,2.037854189889861e-06
164,464,2.2475886808904263e-06
165,465,2.512837969377157e-06
166,466,2.8696930050259062e-06
167,467,3.0728912957731985e-06
168,468,3.5959225348752027e-06
169,469,4.01403472701706e-06
170,470,4.272532367675733e-06
171,471,4.822002397645873e-06
172,472,5.608068878675634e-06
173,473,5.915511949209376e-06
174,474,6.569131060708318e-06
175,475,7.4562839423631955e-06
176,476,7.861954686090896e-06
177,477,8.609138294135099e-06
178,478,9.695347400621924e-06
179,479,1.0342888158725478e-05
180,480,1.1371929131200014e-05
181,481,1.2306042219008085e-05
182,482,1.3376267059703198e-05
183,483,1.4227211152141236e-05
184,484,1.4998204298310393e-05
185,485,1.608265678152865e-05
186,486,1.3960389980253926e-05
187,487,1.663945212180096e-05
188,488,1.920321083e-05
189,489,1.934447294081504e-05
190,490,2.3004280421840905e-05
191,491,2.346562963592539e-05
192,492,2.3804098784420413e-05
193,493,2.7064255500000047e-05
194,494,2.795236304723504e-05
195,495,3.138467611582567e-05
196,496,3.164484584121953e-05
197,497,3.4034770807162394e-05
198,498,3.487310492848942e-05
199,499,3.6768095146355466e-05
200,500,3.870780744118443e-05
201,501,3.949936031524656e-05
202,502,4.143441306056462e-05
203,503,4.559181147455499e-05
204,504,4.4733227631782124e-05
205,505,5.0268349696470634e-05
206,506,5.4747401720000055e-05
207,507,5.498040737551028e-05
208,508,5.62239042661828e-05
209,509,6.155666662999993e-05
210,510,6.261199635558285e-05
211,511,6.679775390555238e-05
212,512,7.171381785079994e-05
213,513,7.01593661535135e-05
214,514,7.153667167876405e-05
215,515,7.689428043898318e-05
216,516,8.091873827957734e-05
217,517,6.848782436802816e-05
218,518,8.142255661671777e-05
219,519,8.221967054940132e-05
220,520,9.333253285257621e-05
221,521,9.741309504447511e-05
222,522,0.00010328352853846167
223,523,0.00010122420675391788
224,524,0.000112968169290847
225,525,0.00011592733535203796
226,526,0.00011665561494140716
227,527,0.00010583576907945922
228,528,0.0001254802830091129
229,529,0.00013561391558927712
230,530,0.00013463547866101466
231,531,0.00014703734180084995
232,532,0.00014935121066952378
233,533,0.00013757292634216625
234,534,0.00015197210699118092
235,535,0.00015944310242539268
236,536,0.00017178824218250664
237,537,0.00016383415588638135
238,538,0.00017715888521526542
239,539,0.00017827411747199973
240,540,0.00017771617
241,541,0.00017598429433098595
242,542,0.0001970714354519131
243,543,0.0001996444532279545
244,544,0.00021313623287787635
245,545,0.0002145687474211853
246,546,0.0002185775606442212
247,547,0.00022778643804140543
248,548,0.00022802550283441378
249,549,0.00024222125694409917
250,550,0.0002471227226598513
251,551,0.0002537465955353089
252,552,0.0002665828297891894
253,553,0.00026679131352509136
254,554,0.00027982865496923047
255,555,0.00028917972437080274
256,556,0.00029239833474320405
257,557,0.0002938078584086853
258,558,0.00030895782047836586
259,559,0.0003005234794920865
260,560,0.0003145844546842104
261,561,0.0003427828379803342
262,562,0.00033623054843530837
263,563,0.00035910729784179447
264,564,0.00036217177855194383
265,565,0.0003752839777938895
266,566,0.0003658403502203502
267,567,0.0004020741464046505
268,568,0.0004107471917540596
269,569,0.0004132890765972221
270,570,0.0004268417141566824
271,571,0.00042604124934269346
272,572,0.00046387736187766387
273,573,0.0004802285056662862
274,574,0.0004929841484133938
275,575,0.0004975275242372595
276,576,0.0005092378957178329
277,577,0.0005385532153121486
278,578,0.0005386705940471373
279,579,0.0005644624928590605
280,580,0.0005931068280022295
281,581,0.0006153139235970002
282,582,0.0006450481886453037
283,583,0.0006735268678337009
284,584,0.0006952426154291991
285,585,0.0007133289943667402
286,586,0.0007196152024396946
287,587,0.0007603848770646757
288,588,0.0007690758389635574
289,589,0.000687728933611879
290,590,0.0007572553444022634
291,591,0.000838430349674328
292,592,0.0008499877733798717
293,593,0.0008938065314421284
294,594,0.0009228883123899247
295,595,0.0009452379721627899
296,596,0.0010100765174762894
297,597,0.0010508221665235292
298,598,0.0010777657360594142
299,599,0.0011197663828747385
300,600,0.0011750582198361086
301,601,0.001205939656229533
302,602,0.001233939782142708
303,603,0.0013101964789940257
304,604,0.0013871272139858292
305,605,0.0014406142227604884
306,606,0.0014907864829091844
307,607,0.0015597878779684653
308,608,0.0016182080221095335
309,609,0.0016727320614949497
310,610,0.0017348558489426005
311,611,0.0017968820216947789
312,612,0.0018985292129699973
313,613,0.0019493743150608776
314,614,0.001970011988516901
315,615,0.002129091771166504
316,616,0.0021598602426159924
317,617,0.0022207328048661425
318,618,0.0024011364180647715
319,619,0.0025147973294340183
320,620,0.002623472241146201
321,621,0.0027464384277900928
322,622,0.0027580628282516985
323,623,0.002851714000279655
324,624,0.0029617549976939366
325,625,0.0030678423097852364
326,626,0.003195048640240687
327,627,0.003424814988214284
328,628,0.0033714631916584446
329,629,0.0036348251376067983
330,630,0.003735709420090574
331,631,0.003959443071010329
332,632,0.003971962698692967
333,633,0.004397658982921342
334,634,0.004504365594626875
335,635,0.00474447726921303
336,636,0.004826462051988875
337,637,0.005195486945101657
338,638,0.005440317485957676
339,639,0.0056313787364311845
340,640,0.005729487632662388
341,641,0.005958154243409836
342,642,0.006206078017525893
343,643,0.006517533426764712
344,644,0.006739876309137965
345,645,0.007045420931982861
346,646,0.007101109330817616
347,647,0.007336840624344097
348,648,0.007543216357052647
349,649,0.007584242339102328
350,650,0.007907695697156035
351,651,0.008707687058552125
352,652,0.008659762055109167
353,653,0.00925517557359999
354,654,0.009484174392799995
355,655,0.009370202550500868
356,656,0.008514362656475599
