wl,power
385.5,1.0080E+00
386.5,1.0070E+00
387.5,1.0040E+00
388.5,9.8430E-01
389.5,1.1740E+00
390.5,1.2470E+00
391.5,1.3420E+00
392.5,1.0190E+00
393.5,5.8230E-01
394.5,1.0260E+00
395.5,1.3140E+00
396.5,8.5450E-01
397.5,9.2880E-01
398.5,1.5220E+00
399.5,1.6630E+00
400.5,1.6820E+00
401.5,1.7460E+00
402.5,1.7590E+00
403.5,1.6840E+00
404.5,1.6740E+00
405.5,1.6670E+00
406.5,1.5890E+00
407.5,1.6280E+00
408.5,1.7350E+00
409.5,1.7150E+00
410.5,1.5320E+00
411.5,1.8170E+00
412.5,1.7890E+00
413.5,1.7560E+00
414.5,1.7370E+00
415.5,1.7340E+00
416.5,1.8420E+00
417.5,1.6650E+00
418.5,1.6840E+00
419.5,1.7010E+00
420.5,1.7570E+00
421.5,1.7970E+00
422.5,1.5820E+00
423.5,1.7110E+00
424.5,1.7670E+00
425.5,1.6950E+00
426.5,1.6980E+00
427.5,1.5690E+00
428.5,1.5870E+00
429.5,1.4750E+00
430.5,1.1350E+00
431.5,1.6860E+00
432.5,1.6460E+00
433.5,1.7310E+00
434.5,1.6700E+00
435.5,1.7230E+00
436.5,1.9290E+00
437.5,1.8060E+00
438.5,1.5670E+00
439.5,1.8250E+00
440.5,1.7130E+00
441.5,1.9310E+00
442.5,1.9800E+00
443.5,1.9090E+00
444.5,1.9730E+00
445.5,1.8210E+00
446.5,1.8910E+00
447.5,2.0770E+00
448.5,1.9730E+00
449.5,2.0270E+00
450.5,2.1440E+00
451.5,2.1090E+00
452.5,1.9410E+00
453.5,1.9700E+00
454.5,1.9790E+00
455.5,2.0340E+00
456.5,2.0770E+00
457.5,2.1000E+00
458.5,1.9710E+00
459.5,2.0090E+00
460.5,2.0400E+00
461.5,2.0550E+00
462.5,2.1040E+00
463.5,2.0400E+00
464.5,1.9760E+00
465.5,2.0420E+00
466.5,1.9210E+00
467.5,2.0150E+00
468.5,1.9940E+00
469.5,1.9900E+00
470.5,1.8770E+00
471.5,2.0180E+00
472.5,2.0410E+00
473.5,1.9910E+00
474.5,2.0510E+00
475.5,2.0160E+00
476.5,1.9560E+00
477.5,2.0750E+00
478.5,2.0090E+00
479.5,2.0760E+00
480.5,2.0350E+00
481.5,2.0900E+00
482.5,2.0230E+00
483.5,2.0190E+00
484.5,1.9690E+00
485.5,1.8300E+00
486.5,1.6250E+00
487.5,1.8300E+00
488.5,1.9140E+00
489.5,1.9600E+00
490.5,2.0070E+00
491.5,1.8960E+00
492.5,1.8960E+00
493.5,1.8880E+00
494.5,2.0580E+00
495.5,1.9260E+00
496.5,2.0170E+00
497.5,2.0180E+00
498.5,1.8660E+00
499.5,1.9700E+00
500.5,1.8570E+00
501.5,1.8120E+00
502.5,1.8940E+00
503.5,1.9340E+00
504.5,1.8690E+00
505.5,1.9930E+00
506.5,1.9610E+00
507.5,1.9060E+00
508.5,1.9190E+00
509.5,1.9160E+00
510.5,1.9470E+00
511.5,1.9970E+00
512.5,1.8670E+00
513.5,1.8610E+00
514.5,1.8740E+00
515.5,1.9000E+00
516.5,1.6690E+00
517.5,1.7260E+00
518.5,1.6540E+00
519.5,1.8280E+00
520.5,1.8310E+00
521.5,1.9060E+00
522.5,1.8230E+00
523.5,1.8940E+00
524.5,1.9580E+00
525.5,1.9300E+00
526.5,1.6740E+00
527.5,1.8280E+00
528.5,1.8970E+00
529.5,1.9180E+00
530.5,1.9520E+00
531.5,1.9630E+00
532.5,1.7700E+00
533.5,1.9230E+00
534.5,1.8580E+00
535.5,1.9900E+00
536.5,1.8710E+00
537.5,1.8820E+00
538.5,1.9040E+00
539.5,1.8320E+00
540.5,1.7690E+00
541.5,1.8810E+00
542.5,1.8250E+00
543.5,1.8790E+00
544.5,1.8790E+00
545.5,1.9010E+00
546.5,1.8790E+00
547.5,1.8330E+00
548.5,1.8630E+00
549.5,1.8950E+00
550.5,1.8620E+00
551.5,1.8710E+00
552.5,1.8460E+00
553.5,1.8820E+00
554.5,1.8980E+00
555.5,1.8970E+00
556.5,1.8210E+00
557.5,1.8460E+00
558.5,1.7870E+00
559.5,1.8080E+00
560.5,1.8430E+00
561.5,1.8240E+00
562.5,1.8500E+00
563.5,1.8610E+00
564.5,1.8540E+00
565.5,1.7980E+00
566.5,1.8290E+00
567.5,1.8870E+00
568.5,1.8100E+00
569.5,1.8600E+00
570.5,1.7690E+00
571.5,1.8230E+00
572.5,1.8920E+00
573.5,1.8760E+00
574.5,1.8670E+00
575.5,1.8300E+00
576.5,1.8460E+00
577.5,1.8570E+00
578.5,1.7830E+00
579.5,1.8280E+00
580.5,1.8380E+00
581.5,1.8530E+00
582.5,1.8730E+00
583.5,1.8570E+00
584.5,1.8600E+00
585.5,1.7830E+00
586.5,1.8300E+00
587.5,1.8480E+00
588.5,1.7500E+00
589.5,1.6120E+00
590.5,1.8130E+00
591.5,1.7870E+00
592.5,1.8080E+00
593.5,1.7960E+00
594.5,1.7730E+00
595.5,1.7820E+00
596.5,1.8050E+00
597.5,1.7800E+00
598.5,1.7570E+00
599.5,1.7740E+00
600.5,1.7460E+00
601.5,1.7510E+00
602.5,1.7190E+00
603.5,1.7870E+00
604.5,1.7760E+00
605.5,1.7630E+00
606.5,1.7590E+00
607.5,1.7570E+00
608.5,1.7430E+00
609.5,1.7440E+00
610.5,1.7030E+00
611.5,1.7460E+00
612.5,1.7050E+00
613.5,1.6830E+00
614.5,1.7130E+00
615.5,1.7130E+00
616.5,1.6090E+00
617.5,1.7070E+00
618.5,1.7240E+00
619.5,1.7070E+00
620.5,1.7340E+00
621.5,1.6900E+00
622.5,1.7130E+00
623.5,1.6660E+00
624.5,1.6560E+00
625.5,1.6320E+00
626.5,1.6970E+00
627.5,1.6970E+00
628.5,1.6970E+00
629.5,1.6770E+00
631,1.6390E+00
633,1.6510E+00
635,1.6560E+00
637,1.6540E+00
639,1.6510E+00
641,1.6140E+00
643,1.6210E+00
645,1.6270E+00
647,1.6030E+00
649,1.5580E+00
651,1.6060E+00
653,1.5990E+00
655,1.5320E+00
657,1.3840E+00
659,1.5490E+00
661,1.5710E+00
663,1.5550E+00
665,1.5600E+00
667,1.5350E+00
669,1.5460E+00
671,1.5160E+00
673,1.5210E+00
675,1.5100E+00
677,1.5080E+00
679,1.4980E+00
681,1.4920E+00
683,1.4790E+00
685,1.4550E+00
687,1.4670E+00
689,1.4610E+00
691,1.4480E+00
693,1.4480E+00
695,1.4360E+00
697,1.4160E+00
699,1.4250E+00
701,1.3860E+00
703,1.3880E+00
705,1.4150E+00
707,1.4000E+00
709,1.3840E+00
711,1.3850E+00
713,1.3730E+00
715,1.3660E+00
717,1.3540E+00
719,1.3280E+00
721,1.3310E+00
723,1.3480E+00
725,1.3500E+00
727,1.3460E+00
729,1.3190E+00
731,1.3260E+00
733,1.3180E+00
735,1.3090E+00
737,1.3070E+00
739,1.2780E+00
741,1.2580E+00
743,1.2860E+00
745,1.2790E+00
747,1.2830E+00
749,1.2700E+00
751,1.2620E+00
753,1.2590E+00
755,1.2550E+00
757,1.2480E+00
759,1.2400E+00
761,1.2370E+00
763,1.2410E+00
765,1.2210E+00
767,1.1850E+00
769,1.2030E+00
771,1.2040E+00
773,1.2080E+00
775,1.1880E+00
777,1.1960E+00
779,1.1870E+00
781,1.1870E+00
783,1.1760E+00
785,1.1800E+00
787,1.1770E+00
789,1.1740E+00
791,1.1580E+00
793,1.1430E+00
795,1.1340E+00
797,1.1520E+00
799,1.1350E+00
801,1.1420E+00
803,1.1290E+00
805,1.1150E+00
807,1.1200E+00
809,1.0950E+00
811,1.1140E+00
813,1.1150E+00
815,1.1070E+00
817,1.1040E+00
819,1.0630E+00
821,1.0800E+00
823,1.0730E+00
825,1.0750E+00
826,1.0800E+00
828,1.0810E+00
830,1.0630E+00
832,1.0510E+00
834,1.0410E+00
836,1.0520E+00
838,1.0440E+00
840,1.0400E+00
842,1.0360E+00
844,1.0240E+00
846,1.0280E+00
848,1.0230E+00
850,9.6600E-01
852,9.9610E-01
854,8.7800E-01
856,9.7550E-01
858,1.0050E+00
860,9.9690E-01
862,9.9490E-01
864,9.9930E-01
866,8.8620E-01
868,9.3950E-01
870,9.7470E-01
872,9.8330E-01
874,9.7130E-01
876,9.6400E-01
878,9.7490E-01
880,9.5540E-01
882,9.5110E-01
884,9.5790E-01
886,9.3830E-01
888,9.4430E-01
890,9.5300E-01
892,9.3940E-01
894,9.3320E-01
896,9.3870E-01
898,9.3390E-01
900,9.1580E-01
902,8.9160E-01
904,9.2850E-01
906,9.1760E-01
908,9.0250E-01
910,8.9160E-01
912,8.9670E-01
914,9.0710E-01
916,9.0040E-01
918,8.9510E-01
920,8.9080E-01
922,8.6300E-01
924,8.5850E-01
926,8.6120E-01
928,8.7690E-01
930,8.6770E-01
932,8.6510E-01
934,8.6410E-01
936,8.5470E-01
938,8.5800E-01
940,8.4380E-01
942,8.2500E-01
944,8.3240E-01
946,8.3750E-01
948,8.4070E-01
950,8.3690E-01
952,8.3170E-01
954,8.0800E-01
956,8.0820E-01
958,8.1880E-01
960,8.1510E-01
962,8.0890E-01
964,8.0130E-01
966,7.9470E-01
968,7.9690E-01
970,7.9590E-01
972,7.9360E-01
974,7.8150E-01
976,7.8250E-01
978,7.7790E-01
980,7.7460E-01
982,7.7640E-01
984,7.6980E-01
986,7.6610E-01
988,7.6150E-01
990,7.5410E-01
992,7.5670E-01
994,7.5560E-01
996,7.5250E-01
998,7.5100E-01
1000,7.4790E-01
1002,7.4690E-01
1004,7.2610E-01
1006,7.1360E-01
1008,7.3350E-01
1010,7.3130E-01
1012,7.2620E-01
1014,7.2100E-01
1016,7.1390E-01
1018,7.1070E-01
1020,7.0410E-01
1022,7.0210E-01
1024,7.0540E-01
1026,7.0270E-01
1028,6.9890E-01
1030,6.9370E-01
1032,6.9050E-01
1034,6.8170E-01
1036,6.8400E-01
1038,6.7720E-01
1040,6.7610E-01
1042,6.7460E-01
1044,6.7140E-01
1046,6.6000E-01
1048,6.6440E-01
1050,6.6220E-01
1052,6.5860E-01
1054,6.5490E-01
1056,6.5570E-01
1058,6.4510E-01
1060,6.4150E-01
1062,6.4380E-01
1064,6.4590E-01
1066,6.3950E-01
1068,6.3170E-01
1070,6.2410E-01
1072,6.3260E-01
1074,6.2760E-01
1076,6.2800E-01
1078,6.2720E-01
1080,6.2470E-01
1082,6.0990E-01
