Wavelength,Responsivity
355.4,0.17776
355.5,0.1777
355.6,0.17764
355.7,0.17758
355.8,0.17752
355.9,0.17746
356.0,0.1774
356.1,0.17734
356.2,0.17728
356.3,0.17722
356.4,0.17716
356.5,0.1771
356.6,0.17704
356.7,0.17698
356.8,0.17692
356.9,0.17686
357.0,0.1768
357.1,0.17674
357.2,0.17668
357.3,0.17662
357.4,0.17656
357.5,0.1765
357.6,0.17644
357.7,0.17638
357.8,0.17632
357.9,0.17626
358.0,0.1762
358.1,0.17614
358.2,0.17608
358.3,0.17602
358.4,0.17596
358.5,0.1759
358.6,0.17584
358.7,0.17578
358.8,0.17572
358.9,0.17566
359.0,0.1756
359.1,0.17554
359.2,0.17548
359.3,0.17542
359.4,0.17536
359.5,0.1753
359.6,0.17524
359.7,0.17518
359.8,0.17512
359.9,0.17506
360.0,0.175
360.1,0.17495
360.2,0.1749
360.3,0.17485
360.4,0.1748
360.5,0.17475
360.6,0.1747
360.7,0.17465
360.8,0.1746
360.9,0.17455
361.0,0.1745
361.1,0.17445
361.2,0.1744
361.3,0.17435
361.4,0.1743
361.5,0.17425
361.6,0.1742
361.7,0.17415
361.8,0.1741
361.9,0.17405
362.0,0.174
362.1,0.17395
362.2,0.1739
362.3,0.17385
362.4,0.1738
362.5,0.17375
362.6,0.1737
362.7,0.17365
362.8,0.1736
362.9,0.17355
363.0,0.1735
363.1,0.17345
363.2,0.1734
363.3,0.17335
363.4,0.1733
363.5,0.17325
363.6,0.1732
363.7,0.17315
363.8,0.1731
363.9,0.17305
364.0,0.173
364.1,0.17295
364.2,0.1729
364.3,0.17285
364.4,0.1728
364.5,0.17275
364.6,0.1727
364.7,0.17265
364.8,0.1726
364.9,0.17255
365.0,0.1725
365.1,0.17245
365.2,0.1724
365.3,0.17235
365.4,0.1723
365.5,0.17225
365.6,0.1722
365.7,0.17215
365.8,0.1721
365.9,0.17205
366.0,0.172
366.1,0.17195
366.2,0.1719
366.3,0.17185
366.4,0.1718
366.5,0.17175
366.6,0.1717
366.7,0.17165
366.8,0.1716
366.9,0.17155
367.0,0.1715
367.1,0.17145
367.2,0.1714
367.3,0.17135
367.4,0.1713
367.5,0.17125
367.6,0.1712
367.7,0.17115
367.8,0.1711
367.9,0.17105
368.0,0.171
368.1,0.17095
368.2,0.1709
368.3,0.17085
368.4,0.1708
368.5,0.17075
368.6,0.1707
368.7,0.17065
368.8,0.1706
368.9,0.17055
369.0,0.1705
369.1,0.17045
369.2,0.1704
369.3,0.17035
369.4,0.1703
369.5,0.17025
369.6,0.1702
369.7,0.17015
369.8,0.1701
369.9,0.17005
370.0,0.17
370.1,0.17005
370.2,0.1701
370.3,0.17015
370.4,0.1702
370.5,0.17025
370.6,0.1703
370.7,0.17035
370.8,0.1704
370.9,0.17045
371.0,0.1705
371.1,0.17055
371.2,0.1706
371.3,0.17065
371.4,0.1707
371.5,0.17075
371.6,0.1708
371.7,0.17085
371.8,0.1709
371.9,0.17095
372.0,0.171
372.1,0.17105
372.2,0.1711
372.3,0.17115
372.4,0.1712
372.5,0.17125
372.6,0.1713
372.7,0.17135
372.8,0.1714
372.9,0.17145
373.0,0.1715
373.1,0.17155
373.2,0.1716
373.3,0.17165
373.4,0.1717
373.5,0.17175
373.6,0.1718
373.7,0.17185
373.8,0.1719
373.9,0.17195
