,id,device,curvetype,area,date,time,v,i,p,j,direction,jo1,jo2,rs,rsh,jl,covar,jfit,voc,jsc,vmpp,pce,ff,pb_excess,anneal,antisolventdrop,pixel
0,(1 of 2),C5SAED2_P1_S1,illuminated,0.07,3/12/2020,5:49:51 PM,"[-0.19873754, -0.19381961, -0.1836413568, -0.1746952678, -0.1657669316, -0.1552887016, -0.1460014342, -0.1368162602, -0.1272918066, -0.1177159932, -0.10850292734, -0.0998859597, -0.0902784377, -0.08171601996, -0.07215795914, -0.06295505144, -0.0532549487, -0.04418075384, -0.03528475234, -0.026386871446, -0.0181611695416, -0.0091377080336, 0.0002573486664, 0.0100449627864, 0.0204394790924, 0.030296851668, 0.04020368548, 0.04913202196, 0.05902174872, 0.06802174232, 0.07683150496, 0.08598751546, 0.09535025682, 0.1041124377, 0.11290063108, 0.1223489658, 0.1314605844, 0.1413192294, 0.1506445472, 0.1601683556, 0.1703231608, 0.1803105188, 0.1893999418, 0.1988838016, 0.2089910442, 0.2182833816, 0.226894654, 0.237067212, 0.245883943, 0.2545351448, 0.2634552412, 0.2727361674, 0.2821477246, 0.2915282192, 0.3008009052, 0.3101820262, 0.3198491492, 0.3288485168, 0.337997521, 0.3471928348, 0.356592981, 0.3657464474, 0.3746583038, 0.3850363402, 0.394201218, 0.4041011036, 0.41418298, 0.4235159122, 0.4328431292, 0.4429681252, 0.452184363, 0.461077821, 0.4706510912, 0.4799707136, 0.4888153368, 0.4976796116, 0.5072440152, 0.5165008476, 0.5256600104, 0.5351736806, 0.5441495998, 0.5531914416, 0.5623201682, 0.571954976, 0.5811642458, 0.5914655368, 0.600603776, 0.6105455094, 0.6189861642, 0.6288600378, 0.6382703234, 0.6475607628, 0.6567826968, 0.666918478, 0.675342026, 0.6848791452, 0.6942406154, 0.704046003, 0.7125050566, 0.7225672628, 0.730931837, 0.7408298054, 0.7489787626, 0.7590783924, 0.7686814922, 0.7778559024, 0.7868324486, 0.7970335454, 0.8057557788, 0.814124777, 0.8236631688, 0.833045563, 0.84248376, 0.8518858058, 0.8615453158, 0.8708218, 0.8796619808, 0.8889035862, 0.8982777594, 0.9078859288, 0.91728038, 0.926695755, 0.9351947768, 0.9441953984, 0.9530476364, 0.9617445034, 0.9711865172, 0.9802277334, 0.9896354946, 0.9991871972, 1.008650135, 1.017452911, 1.026428166, 1.035202406, 1.043845368, 1.052929058, 1.061907484, 1.0711954, 1.080315886, 1.0884953, 1.09695817, 1.10519464, 1.11343745, 1.12205123, 1.131223076, 1.140226888, 1.149465342, 1.15884333, 1.16714134]","[0.00153846448, 0.00154250023, 0.00153774783, 0.001536574042, 0.001534988368, 0.001533419316, 0.001533114556, 0.0015329003, 0.00153259554, 0.00153305268, 0.001533114556, 0.00153381458, 0.001533724076, 0.001534485976, 0.001533785952, 0.001532945554, 0.00153209315, 0.001531207498, 0.001530597978, 0.001530140838, 0.001531483628, 0.001531726512, 0.001532793172, 0.00153259554, 0.001531726512, 0.001530902736, 0.001530490848, 0.001529028924, 0.001528069392, 0.001527781256, 0.001527826508, 0.001526793096, 0.00152680972, 0.001526093072, 0.001525545428, 0.00152341211, 0.001522159824, 0.001520709906, 0.001518819472, 0.001517217174, 0.001514931476, 0.001512950538, 0.00151063621, 0.001510043314, 0.001507514732, 0.001506267064, 0.001505398036, 0.001504162374, 0.001502774332, 0.00150227194, 0.00150219344, 0.001501538668, 0.001500624388, 0.0015002125, 0.0014994506, 0.0014994506, 0.001498750576, 0.001498293436, 0.001497457656, 0.001497745792, 0.001496910012, 0.001497198148, 0.001497136274, 0.001496464878, 0.001496267246, 0.001494743446, 0.00149242912, 0.001491119576, 0.001489883914, 0.001487445836, 0.001486514934, 0.001485645906, 0.001483422082, 0.001480238728, 0.00147807678, 0.00147467917, 0.001471388688, 0.00146971251, 0.001468448218, 0.001467043552, 0.001465841136, 0.001464119704, 0.001463357804, 0.001461557874, 0.001459305422, 0.001458329266, 0.001458205516, 0.001455005538, 0.00145391025, 0.00145038889, 0.001444857962, 0.00143943416, 0.001433948484, 0.001427943792, 0.001425415208, 0.001422655746, 0.001421955722, 0.001420477174, 0.001419839026, 0.001416334288, 0.00141493424, 0.00141019384, 0.001406384342, 0.001400013014, 0.001393032168, 0.001386372704, 0.001378358444, 0.001367510842, 0.001358475176, 0.001349913272, 0.0013375705, 0.001324008688, 0.00130881595, 0.001295135004, 0.00127767319, 0.001259539982, 0.001240644874, 0.001214818788, 0.001185776102, 0.001148945418, 0.00110879562, 0.001065445846, 0.0010221699536, 0.0009711393082, 0.0009153110042, 0.0008555494528, 0.0007787666032, 0.0007013908572, 0.000608896254, 0.0005025064502, 0.000392657161, 0.00028016015528, 0.00015789421232, 3.066160772e-05, -0.00010272806848, -0.00025203913648, -0.00040395728616, -0.0005709610466, -0.0007412100374, -0.0008988567474, -0.0010666676608, -0.0012378475538, -0.00142281552, -0.001612750148, -0.00182552514, -0.00203949054, -0.002250848862, -0.00248089265, -0.00263471325]","[-0.000305750646132579, -0.00029896679300351, -0.000282394097917456, -0.000268432213761718, -0.000254450311805052, -0.00023812269459, -0.000223836923968896, -0.000209725686305458, -0.000195086855073703, -0.000180464818854122, -0.000166347417273564, -0.000153206541325152, -0.000138462213444156, -0.000125392086643156, -0.000110674864053922, -9.65066662067893e-05, -8.15915421068714e-05, -6.76499015471003e-05, -5.40067705858348e-05, -4.03756295865807e-05, -2.78135338182927e-05, -1.39964696539805e-05, 3.94462278681226e-07, 1.53948651659026e-05, 3.13076920172988e-05, 4.63815331107274e-05, 6.15313726830105e-05, 7.51242826714432e-05, 9.01893276813472e-05, 0.000103922342916958, 0.000117385209927421, 0.000131285144946521, 0.000145581698917272, 0.000158885269883002, 0.000172235041562409, 0.000186387896145696, 0.000200104020013241, 0.000214905552056866, 0.000228801871637983, 0.000243010179847659, 0.000258027917387729, 0.000272800896425519, 0.000286114410254973, 0.000300323154868983, 0.000315057077987563, 0.000328793068322624, 0.0003415667665105, 0.000356587580399481, 0.000369508078191351, 0.000382381005776877, 0.000395760735064258, 0.000409523901513221, 0.000423397756553468, 0.00043735427854658, 0.000451036097782683, 0.000465102625294806, 0.00047937409659661, 0.000492711574159776, 0.000506136975530471, 0.000520006607334251, 0.000533787603467826, 0.000547594903684859, 0.000560914536974292, 0.00057619335986296, 0.000589830370826706, 0.000604027476127467, 0.000618138740360378, 0.000631512867428917, 0.000644886015480504, 0.000658891093309467, 0.000672178808520777, 0.000684998377116051, 0.000698174221603476, 0.000710471238576516, 0.000722506599031959, 0.00073391775656021, 0.00074635310602098, 0.000759107757143323, 0.000771904505545741, 0.000785123097324337, 0.000797636867524778, 0.000809938489730725, 0.000822875606482063, 0.000835945298746281, 0.000848096134968481, 0.00086255150214584, 0.000875803739093628, 0.000888347097378031, 0.000899950328738563, 0.0009120916121901, 0.000922209958672805, 0.000932121082649977, 0.000941792552393792, 0.000952322100430189, 0.000962642794461931, 0.000974347251234348, 0.000987179415512832, 0.00100008127670744, 0.00101164248558302, 0.00102339678968995, 0.0010342204832774, 0.00104471362806348, 0.00105335200421118, 0.0010627196280062, 0.00107079804558084, 0.00107839819073265, 0.00108453714954101, 0.0010899520147722, 0.00109459922341835, 0.00109899784153634, 0.0011017075565234, 0.00110295956291185, 0.00110265618270397, 0.00110330712650233, 0.00110077335196774, 0.00109683487429721, 0.00109134812733221, 0.00107985677723634, 0.00106515630005463, 0.00104311137796143, 0.00101707646765594, 0.000987344142670583, 0.000955928001608619, 0.0009169452660078, 0.000872334989123721, 0.000822819983617278, 0.000756327625073482, 0.000687522770180639, 0.000602585345487377, 0.000502098011550259, 0.000396053698451367, 0.000285049765535848, 0.000162067066773632, 3.17409700835722e-05, -0.000107232218446435, -0.00026537933055302, -0.000428965265389634, -0.000611610846697106, -0.000800740978265874, -0.000978401344918187, -0.00117008980518935, -0.00136806248159687, -0.00158421608440922, -0.00180958828724608, -0.00206507616418613, -0.00232548195152964, -0.00258727275694914, -0.00287496589989852, -0.00307508275312075]","[0.021978064, 0.022035717571428567, 0.021967826142857142, 0.02195105774285714, 0.021928405257142854, 0.02190599022857143, 0.021901636514285713, 0.02189857571428571, 0.021894221999999998, 0.021900752571428567, 0.021901636514285713, 0.021911636857142855, 0.02191034394285714, 0.021921228228571427, 0.021911227885714285, 0.021899222199999995, 0.021887044999999997, 0.02187439282857143, 0.021865685399999998, 0.02185915482857143, 0.021878337542857142, 0.021881807314285715, 0.021897045314285712, 0.021894221999999998, 0.021881807314285715, 0.021870039085714284, 0.02186415497142857, 0.02184327034285714, 0.02182956274285714, 0.021825446514285713, 0.02182609297142857, 0.02181132994285714, 0.021811567428571425, 0.0218013296, 0.02179350611428571, 0.021763030142857142, 0.02174514034285714, 0.021724427228571427, 0.021697421028571428, 0.021674531057142853, 0.021641878228571425, 0.02161357911428571, 0.021580517285714283, 0.021572047342857142, 0.021535924742857142, 0.02151810091428571, 0.02150568622857143, 0.021488033914285713, 0.02146820474285714, 0.021461027714285714, 0.021459906285714283, 0.021450552399999996, 0.021437491257142855, 0.02143160714285714, 0.021420722857142856, 0.021420722857142856, 0.02141072251428571, 0.02140419194285714, 0.021392252228571426, 0.021396368457142857, 0.02138442874285714, 0.02138854497142857, 0.021387661057142855, 0.021378069685714284, 0.02137524637142857, 0.021353477799999996, 0.021320416, 0.021301708228571428, 0.021284055914285713, 0.021249226228571425, 0.021235927628571426, 0.02122351294285714, 0.021191744028571425, 0.02114626754285714, 0.02111538257142857, 0.021066845285714283, 0.021019838399999997, 0.020995892999999998, 0.020977831685714283, 0.020957765028571426, 0.020940587657142854, 0.02091599577142857, 0.020905111485714285, 0.0208793982, 0.02084722031428571, 0.020833275228571427, 0.02083150737142857, 0.020785793399999995, 0.020770146428571425, 0.020719841285714285, 0.020640828028571426, 0.020563345142857143, 0.02048497834285714, 0.020399197028571427, 0.020363074399999997, 0.020323653514285712, 0.02031365317142857, 0.020292531057142855, 0.020283414657142854, 0.02023334697142857, 0.020213346285714282, 0.020145626285714285, 0.020091204885714285, 0.020000185914285713, 0.01990045954285714, 0.01980532434285714, 0.019690834914285714, 0.01953586917142857, 0.019406788228571427, 0.01928447531428571, 0.019108149999999997, 0.018914409828571427, 0.018697370714285712, 0.018501928628571425, 0.01825247414285714, 0.017993428314285714, 0.017723498199999996, 0.017354554114285714, 0.016939658599999997, 0.01641350597142857, 0.015839937428571427, 0.015220654942857141, 0.014602427908571428, 0.013873418688571428, 0.013075871488571427, 0.012222135039999998, 0.011125237188571427, 0.010019869388571427, 0.008698517914285714, 0.007178663574285714, 0.005609388014285713, 0.004002287932571428, 0.002255631604571428, 0.0004380229674285714, -0.0014675438354285713, -0.0036005590925714285, -0.005770818373714285, -0.00815658638, -0.01058871482, -0.012840810677142857, -0.01523810944, -0.017683536482857143, -0.020325936, -0.02303928782857143, -0.026078930571428568, -0.02913557914285714, -0.03215498374285714, -0.03544132357142857, -0.037638760714285714]",reverse,7.407778550495381e-18,1.662515694560094e-17,4.3309164239784777e-07,8388617307.030158,0.0240867494867389,"[[ 4.65460408e-36 -1.89939893e-27 -1.48791781e-36  1.14043435e-55
   1.88607782e-35]
 [-1.89939893e-27  8.68005838e-19  6.79963185e-28 -5.21166808e-47
  -8.61918225e-27]
 [-1.48791781e-36  6.79963185e-28  5.32657631e-37 -4.08262511e-56
  -6.75194378e-36]
 [ 1.14043435e-55 -5.21166808e-47 -4.08262511e-56  3.12918220e-75
   5.17511693e-55]
 [ 1.88607782e-35 -8.61918225e-27 -6.75194378e-36  5.17511693e-55
   8.55873307e-35]]","[ 2.40867495e-02  2.40867495e-02  2.40867495e-02  2.40867495e-02
  2.40867495e-02  2.40867495e-02  2.40867495e-02  2.40867495e-02
  2.40867495e-02  2.40867495e-02  2.40867495e-02  2.40867495e-02
  2.40867495e-02  2.40867495e-02  2.40867495e-02  2.40867495e-02
  2.40867495e-02  2.40867495e-02  2.40867495e-02  2.40867495e-02
  2.40867495e-02  2.40867495e-02  2.40867495e-02  2.40867495e-02
  2.40867495e-02  2.40867495e-02  2.40867495e-02  2.40867495e-02
  2.40867495e-02  2.40867495e-02  2.40867495e-02  2.40867495e-02
  2.40867494e-02  2.40867494e-02  2.40867494e-02  2.40867494e-02
  2.40867494e-02  2.40867494e-02  2.40867494e-02  2.40867494e-02
  2.40867494e-02  2.40867494e-02  2.40867494e-02  2.40867494e-02
  2.40867494e-02  2.40867493e-02  2.40867493e-02  2.40867492e-02
  2.40867491e-02  2.40867490e-02  2.40867488e-02  2.40867485e-02
  2.40867481e-02  2.40867475e-02  2.40867466e-02  2.40867454e-02
  2.40867437e-02  2.40867412e-02  2.40867377e-02  2.40867328e-02
  2.40867257e-02  2.40867149e-02  2.40867001e-02  2.40866757e-02
  2.40866442e-02  2.40865945e-02  2.40865343e-02  2.40864335e-02
  2.40862937e-02  2.40860952e-02  2.40858127e-02  2.40853596e-02
  2.40848204e-02  2.40839534e-02  2.40827242e-02  2.40808538e-02
  2.40785550e-02  2.40746266e-02  2.40699616e-02  2.40620717e-02
  2.40528611e-02  2.40365418e-02  2.40137877e-02  2.39824757e-02
  2.39388693e-02  2.38667893e-02  2.37778763e-02  2.36589449e-02
  2.34666268e-02  2.31932941e-02  2.27966851e-02  2.22266386e-02
  2.13776913e-02  2.01996706e-02  1.86033066e-02  1.62295319e-02
  1.27699116e-02  7.63785314e-03  3.76515001e-04 -1.01181738e-02
 -2.35291307e-02 -4.35050183e-02 -7.13086852e-02 -1.09737576e-01
 -1.69171536e-01 -2.50681344e-01 -3.72182496e-01 -5.50621656e-01
 -8.06536903e-01 -1.14595671e+00 -1.63517611e+00 -2.31061029e+00]",1.035202406,0.021897045314285712,0.8518858058,0.15761530378604657,0.6953245982850974,0.05,standard,experimental,1
1,(2 of 2),C5SAED2_P1_S1,illuminated,0.07,3/12/2020,5:49:51 PM,"[-0.214153689, -0.202462888, -0.1933988712, -0.1839289484, -0.1749784166, -0.1663576518, -0.1575612186, -0.1479035898, -0.1382624608, -0.1289764656, -0.1190366515, -0.11012988478, -0.09978737434, -0.09081719084, -0.08156161264, -0.0720384311, -0.06160079544, -0.0531937294, -0.04383795648, -0.03374975862, -0.024926059896, -0.015907667866, -0.00706114679, 0.00278227021, 0.01140178249, 0.020942090586, 0.030262338716, 0.03967643978, 0.0493017148, 0.0593626475, 0.06773164442, 0.07656295718, 0.08595613476, 0.09533598312, 0.10413304308, 0.1139929601, 0.1238839398, 0.1330932088, 0.1423316612, 0.151331655, 0.1614693338, 0.1698358252, 0.1796189966, 0.188163662, 0.197455373, 0.2067026922, 0.2163862954, 0.2260737346, 0.235423147, 0.2459838194, 0.2545639906, 0.2643972692, 0.2733275046, 0.2826192156, 0.2918792184, 0.301330117, 0.3103453388, 0.3193802122, 0.3293377994, 0.3383092558, 0.347091715, 0.3567670782, 0.3664513274, 0.3758330942, 0.3842781918, 0.3946841394, 0.403290969, 0.4135072928, 0.42207161, 0.4324223618, 0.4414654756, 0.4509816708, 0.4601979086, 0.470400277, 0.4790477012, 0.4880343858, 0.4979298286, 0.5068575394, 0.5152411382, 0.5251314924, 0.5347795906, 0.5435817208, 0.5529831394, 0.5630478704, 0.572811391, 0.5823960918, 0.592346692, 0.601074621, 0.610688486, 0.6194240288, 0.628235026, 0.6368976588, 0.6467506088, 0.6548786422, 0.6638329922, 0.6728596452, 0.6820644722, 0.691150706, 0.7016999684, 0.7109460164, 0.7203518784, 0.7298630046, 0.7384945556, 0.747508506, 0.7574971566, 0.7663569888, 0.7762689128, 0.7855631692, 0.7943209082, 0.8027641078, 0.8122289436, 0.8212206982, 0.830856133, 0.8405505222, 0.849874569, 0.8590781434, 0.8677287198, 0.8767686634, 0.8859734906, 0.895645077, 0.9049805352, 0.9147136204, 0.9240351232, 0.9324174508, 0.9409170798, 0.9501409322, 0.9594472264, 0.9685322078, 0.978123251, 0.9873731166, 0.996336961, 1.004575328, 1.0134136108, 1.021897406, 1.03075029, 1.040536026, 1.049251292, 1.058451676, 1.067537928, 1.07637304, 1.084960826, 1.094074972, 1.102957666, 1.112435814, 1.121321012, 1.130532828, 1.139456724, 1.15112909, 1.15579649]","[0.00159891889, 0.0015935856, 0.001587716662, 0.001582976262, 0.001577992976, 0.00157265968, 0.001568212034, 0.001563793016, 0.001558702604, 0.001553826448, 0.001547640748, 0.001541178916, 0.001532645642, 0.001524998018, 0.00151657187, 0.001510036156, 0.001502371908, 0.001497405246, 0.001492438584, 0.001487562428, 0.001483583928, 0.001479453048, 0.00147625307, 0.001471636422, 0.001469350724, 0.001465434098, 0.001462617378, 0.001460286428, 0.001457329334, 0.001453717468, 0.001453565088, 0.001452938946, 0.001450134232, 0.001446798496, 0.001445488952, 0.00144311275, 0.001439365128, 0.00143834372, 0.001437717578, 0.001437017554, 0.00143170088, 0.001432310398, 0.001430086576, 0.001429888944, 0.001427496118, 0.001424889036, 0.001420820032, 0.001415593862, 0.001412179628, 0.001405170152, 0.00140469639, 0.001399577348, 0.00139744403, 0.001394260676, 0.00139034405, 0.001386110658, 0.001383717832, 0.001380822614, 0.001373310746, 0.001368953604, 0.001364715596, 0.001357141852, 0.00135022288, 0.001345894368, 0.00134543723, 0.001336706324, 0.00133504677, 0.00132546346, 0.00132241586, 0.00131229691, 0.00130676598, 0.001299039856, 0.001291923252, 0.001279839988, 0.001275330466, 0.001269675786, 0.001259466332, 0.001253783024, 0.001249821146, 0.001235773566, 0.001223097406, 0.001214914144, 0.001203423774, 0.001189009558, 0.001177959706, 0.001168969292, 0.001155316976, 0.001147821732, 0.00113177659, 0.001119648072, 0.001105645744, 0.001094036242, 0.001073448332, 0.001066591236, 0.00105091273, 0.0010325200126, 0.001010301175, 0.000988132207, 0.0009513347692, 0.0009259944522, 0.0008978374162, 0.0008678970734, 0.0008452090908, 0.0008163640364, 0.0007772190238, 0.0007492263732, 0.0007080551696, 0.0006742268302, 0.0006464031828, 0.0006204985986, 0.0005818559778, 0.000545713311, 0.0005009302418, 0.0004503114838, 0.000403045084, 0.0003564787082, 0.0003146361092, 0.0002647173754, 0.00021016536882, 0.00014781335797, 8.863269617e-05, 2.125214857e-05, -4.236415383e-05, -9.485672285e-05, -0.0001526207132, -0.0002254250622, -0.0003045388628, -0.000382738384, -0.0004727616626, -0.0005592063222, -0.0006440200548, -0.0007217458132, -0.000813338143, -0.0009031019132, -0.0010030751388, -0.0011255387148, -0.0012307547324, -0.001348449278, -0.001466860472, -0.001584509766, -0.001703485228, -0.001836463018, -0.001971100364, -0.002123916172, -0.002269891506, -0.002427888228, -0.002583372992, -0.00279817417, -0.00287139965]","[-0.000342414378705285, -0.000322641942851213, -0.000307062610216232, -0.000291155159211823, -0.000276114712346402, -0.000261623971445339, -0.000247089399100225, -0.000231290600770569, -0.000215510057684408, -0.000200407043418842, -0.000184225972366875, -0.000169729856444445, -0.000152938684408824, -0.000138496036031328, -0.00012369404740166, -0.000108780635582515, -9.25473045795105e-05, -7.96525694578644e-05, -6.54254576944648e-05, -5.02048728771811e-05, -3.6979901850071e-05, -2.35346477109254e-05, -1.04240396264581e-05, 4.09449017688159e-06, 1.6753217356572e-05, 3.06892536281292e-05, 4.42622225049438e-05, 5.79389665220933e-05, 7.18488351945419e-05, 8.62965176174765e-05, 9.8452353681742e-05, 0.000111241302307752, 0.000124647933465881, 0.000137931956992697, 0.00015052316331028, 0.000164504694130551, 0.000178314222867371, 0.000191433781052129, 0.000204632731213181, 0.000217466244710872, 0.000231175787294474, 0.00024325761838687, 0.00025687071583225, 0.000269053139956353, 0.000281866778435742, 0.000294528399827463, 0.000307445983154589, 0.000320028591059177, 0.000332459772153049, 0.000345649120895839, 0.000357585118619814, 0.000370044428845378, 0.000381959889538068, 0.000394044858593046, 0.000405812534621091, 0.000417676886750087, 0.000429430379375641, 0.000441007419469879, 0.000452283138980012, 0.000463129674993968, 0.000473681476702887, 0.000484183533240977, 0.000494790966661851, 0.000505831644791793, 0.000517022185924801, 0.000527576785118477, 0.00053841230553362, 0.000548088807049921, 0.000558154191119735, 0.000567466529205042, 0.0005768920648586, 0.000585843164694671, 0.000594540378642111, 0.000602037084870877, 0.000610944128007625, 0.000619645442385642, 0.000627125854820231, 0.000635489378486131, 0.000643959269811468, 0.00064894361698205, 0.000654087530044602, 0.000660405121019779, 0.000665473056575116, 0.000669469299517145, 0.000674748737735811, 0.000680803147095013, 0.000684348188945043, 0.000689926512537464, 0.000691162932237343, 0.000693536919596393, 0.000694605382728629, 0.00069678912117215, 0.000694253362236345, 0.0006984878204141, 0.000697630542096971, 0.000694741049339935, 0.000689090537689415, 0.000682948272489388, 0.000667551577485461, 0.00065833206700009, 0.000646758869257473, 0.000633445965675271, 0.000624182311899426, 0.000610239061201494, 0.000588741200583928, 0.000574174867295097, 0.000549641216707812, 0.000529647765491582, 0.000513451563225067, 0.000498114003896279, 0.000472600266175839, 0.000448151066276454, 0.000416200963604703, 0.000378509552860747, 0.000342537767052069, 0.000306243066802086, 0.000273018788238969, 0.000232095899408214, 0.000186200945416692, 0.000132388306380669, 8.02108648161456e-05, 1.94396297597434e-05, -3.91459661035678e-05, -8.84460637110391e-05, -0.000143603435781137, -0.000214185578739951, -0.00029218896724447, -0.000370694452065324, -0.000462419174370477, -0.000552145289173038, -0.000641660984222485, -0.000725048037028017, -0.000824247944298997, -0.000922877502452717, -0.00103391999020989, -0.00117116358140714, -0.00129137099310581, -0.00142726839830009, -0.00156592918894398, -0.00170552359373911, -0.00184821474004968, -0.00200922822499739, -0.00217404025692919, -0.00236272041566658, -0.00254527704063812, -0.00274480734446875, -0.0029436417263344, -0.0032210596859736, -0.00331875363685723]","[0.02284169842857143, 0.022765508571428568, 0.022681666599999997, 0.0226139466, 0.022542756799999997, 0.022466566857142854, 0.022403029057142854, 0.02233990022857143, 0.022267180057142857, 0.022197520685714286, 0.02210915354285714, 0.022016841657142856, 0.02189493774285714, 0.02178568597142857, 0.021665312428571427, 0.021571945085714285, 0.021462455828571425, 0.02139150351428571, 0.0213205512, 0.021250891828571428, 0.021194056114285712, 0.02113504354285714, 0.021089329571428568, 0.021023377457142854, 0.020990724628571426, 0.020934772828571428, 0.02089453397142857, 0.020861234685714283, 0.020818990485714284, 0.020767392399999998, 0.02076521554285714, 0.020756270657142858, 0.02071620331428571, 0.02066854994285714, 0.02064984217142857, 0.020615896428571426, 0.020562358971428572, 0.020547767428571426, 0.020538822542857143, 0.020528822199999998, 0.020452869714285712, 0.02046157711428571, 0.020429808228571426, 0.020426984914285712, 0.020392801685714286, 0.020355557657142854, 0.02029742902857143, 0.020222769457142853, 0.020173994685714285, 0.02007385931428571, 0.020067091285714284, 0.019993962114285713, 0.019963486142857142, 0.019918009657142854, 0.019862057857142856, 0.019801580828571426, 0.019767397599999997, 0.01972603734285714, 0.01961872494285714, 0.019556480057142854, 0.019495937085714284, 0.01938774074285714, 0.019288898285714284, 0.019227062399999998, 0.019220531857142856, 0.01909580462857143, 0.019072096714285714, 0.018935192285714282, 0.01889165514285714, 0.01874709871428571, 0.01866808542857143, 0.018557712228571426, 0.018456046457142855, 0.0182834284, 0.018219006657142853, 0.018138225514285712, 0.01799237617142857, 0.017911186057142855, 0.0178545878, 0.017653908085714286, 0.017472820085714283, 0.01735591634285714, 0.0171917682, 0.016985850828571427, 0.0168279958, 0.016699561314285714, 0.016504528228571427, 0.01639745331428571, 0.016168237, 0.015994972457142854, 0.0157949392, 0.015629089171428568, 0.015334976171428571, 0.015237017657142854, 0.015013039, 0.014750285894285712, 0.014432873928571429, 0.014116174385714282, 0.013590496702857141, 0.013228492174285712, 0.012826248802857142, 0.01239852962, 0.01207441558285714, 0.011662343377142856, 0.01110312891142857, 0.010703233902857141, 0.01011507385142857, 0.009631811859999999, 0.009234331182857143, 0.008864265694285714, 0.008312228254285714, 0.007795904442857143, 0.00715614631142857, 0.006433021197142856, 0.005757786914285713, 0.005092552974285714, 0.004494801559999999, 0.0037816767914285714, 0.0030023624117142852, 0.0021116193995714284, 0.0012661813738571426, 0.0003036021224285714, -0.0006052021975714285, -0.0013550960407142858, -0.0021802959028571424, -0.003220358031428571, -0.0043505551828571425, -0.005467691199999999, -0.006753738037142857, -0.007988661745714285, -0.009200286497142855, -0.010310654474285714, -0.011619116328571428, -0.012901455902857142, -0.014329644839999997, -0.016079124497142855, -0.01758221046285714, -0.01926356111428571, -0.020955149599999997, -0.022635853799999998, -0.024335503257142854, -0.026235185971428567, -0.02815857662857143, -0.0303416596, -0.03242702151428571, -0.03468411754285714, -0.03690532845714285, -0.039973916714285705, -0.041019995]",forward,5.901095457062646e-17,1.2389985300657327e-16,2.951526026005521e-06,1048577158.7970281,0.023125709849824486,"[[ 2.39505123e-34 -9.30143539e-27 -2.79322055e-36  8.12483307e-52
   9.60960471e-34]
 [-9.30143539e-27  4.06306127e-19  1.22013708e-28 -3.54909680e-44
  -4.19767606e-26]
 [-2.79322055e-36  1.22013708e-28  3.66407101e-38 -1.06579358e-53
  -1.26056190e-35]
 [ 8.12483307e-52 -3.54909680e-44 -1.06579358e-53  3.10014722e-69
   3.66668324e-51]
 [ 9.60960471e-34 -4.19767606e-26 -1.26056190e-35  3.66668324e-51
   4.33675083e-33]]","[ 0.02312571  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571
  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571
  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571
  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571
  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571
  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571
  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571
  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571  0.02312571
  0.02312571  0.02312571  0.0231257   0.0231257   0.0231257   0.02312569
  0.02312569  0.02312568  0.02312566  0.02312564  0.02312562  0.02312558
  0.02312552  0.02312543  0.0231253   0.0231251   0.02312486  0.02312447
  0.02312397  0.02312325  0.02312227  0.02312066  0.02311878  0.02311589
  0.02311176  0.02310575  0.02309728  0.02308284  0.02306428  0.02303712
  0.02299743  0.0229462   0.02287077  0.02274962  0.02259477  0.02234481
  0.02200447  0.02154906  0.02093565  0.0199602   0.01863375  0.01658976
  0.01359385  0.00942362  0.00352105 -0.00432694 -0.0159036  -0.03271933
 -0.05824501 -0.09389697 -0.14779441]",0.9147136204,0.021023377457142854,0.6548786422,0.09978397434487138,0.5188874466062994,0.05,standard,experimental,1
