V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.104785501	0.00128254704	-0.000134392334142467	-0.11054613	0.0014625712	-0.000161681586009456	-0.102378884	0.00133305636	-0.000136476822445902	-0.110445331	0.00147763488	-0.000163197873418745	-0.106705073	0.00136144289	-0.000145272862962781	-0.105818252	0.00146328346	-0.000154842097917712	-0.103192955	0.00136698744	-0.000141063473381485	-0.105490541	0.00148549052	-0.000156705198605171	-0.104432018	0.00122921061	-0.000128368944549311	-0.107873031	0.00147249898	-0.000158842928117008	-0.103938627	0.00134741586	-0.000140048554486424	-0.10984001	0.00148584031	-0.000163204714508803	-0.109779587	-7.36502883E-07	8.08529823200493E-08	-0.111649791	2.00864423E-07	-2.24264708472856E-08	-0.106158607	0.00137106938	-0.000145550815481154	-0.106553011	0.00149652768	-0.000159459530348844	-0.10315082	0.00180577115	-0.000186266774854843	-0.106271397	0.0018549206	-0.000197125003486078	
-0.10034779112	0.001284185356	-0.000128865163863251	-0.10487590188	0.001449009392	-0.00015196616681859	-0.09935329448	0.001338563278	-0.000132990671539248	-0.10457095792	0.001467623056	-0.000153470748831398	-0.10092867932	0.001359309572	-0.000137193319888994	-0.10400983518	0.001447712082	-0.000150576295036915	-0.10012741382	0.001372873002	-0.00013746222319356	-0.10321987298	0.001477571386	-0.000152514730781803	-0.1005146503	0.001229267868	-0.000123559429877047	-0.10427953768	0.001456318084	-0.000151864176514543	-0.10035032842	0.001348289506	-0.00013530129473234	-0.1049924357	0.0014753381	-0.00015489934060001	-0.10358114812	-1.4360651818E-07	1.48749280306001E-08	-0.1089466074	4.890009738E-07	-5.32749971108063E-08	-0.10064184752	0.001363648014	-0.000137240055495939	-0.1052887828	0.001491087254	-0.000156994762022254	-0.09933213044	0.001784516462	-0.000177259821975711	-0.10320109336	0.001830708816	-0.000188931151434991	
-0.09514044456	0.001280787746	-0.00012185471554144	-0.10033348924	0.001434092784	-0.000143887532912626	-0.09592620592	0.001340177582	-0.0001285581507003	-0.1011051214	0.001458113626	-0.000147422755171724	-0.09569349326	0.00135586671	-0.000129747621874843	-0.10013210414	0.001435781198	-0.00014376779244039	-0.09570549418	0.001372827748	-0.000131387158046356	-0.0996189592	0.001469783386	-0.000146418291162772	-0.09567664738	0.001224865474	-0.000117191022043835	-0.09930823088	0.001436768204	-0.000142682908523875	-0.09672220736	0.001349491922	-0.000130525837510329	-0.10016223292	0.001463209582	-0.00014655833896306	-0.09915802476	-1.8885873298E-07	1.87268589209731E-08	-0.10423765896	6.866330946E-07	-7.15730263455642E-08	-0.09626825118	0.001362597978	-0.000131174924403464	-0.09984121166	0.00148034678	-0.000147799616192179	-0.09421623156	0.00175584041	-0.000165428666650965	-0.09955527972	0.00180273279	-0.000179471567168866	
-0.09102229504	0.001280968754	-0.000116596715863609	-0.09522653358	0.001410795282	-0.000134345144295879	-0.09252892392	0.001341734628	-0.000124149261315042	-0.09607337714	0.001446380372	-0.000138958646967049	-0.0910948281	0.00135510481	-0.000123443039724433	-0.09578939282	0.001423393174	-0.000136345967881593	-0.09220332122	0.001374458676	-0.000126729654806844	-0.0963220681	0.001461707252	-0.000140794665469408	-0.09184115208	0.00122713455	-0.000112701450829172	-0.09536473452	0.001416806436	-0.000135113369635367	-0.09223642498	0.001347877618	-0.000124323412794878	-0.0952708333	0.001450500174	-0.000138190360278775	-0.09495064722	3.5878541762E-07	-3.4066907616117E-08	-0.0996916937	3.36621066E-07	-3.35583242046395E-08	-0.09199751988	0.001361102808	-0.000125218082637704	-0.0955530402	0.001471068228	-0.000140565041527027	-0.09046336804	0.001736702418	-0.000157107950015492	-0.09573715984	0.001775535286	-0.000169984705477342	
-0.08685854884	0.001279675834	-0.000111150785926857	-0.0910031741	0.001387559654	-0.000126272332767098	-0.0887659761	0.00134330368	-0.000119239662353922	-0.09119878324	0.001434997132	-0.00013086999239129	-0.086872737	0.001354890554	-0.000117703050761426	-0.0913162961	0.001412557578	-0.000128989526050947	-0.08838234746	0.001375175322	-0.000121541223127421	-0.09153036052	0.001452412076	-0.000132939800939882	-0.08754847672	0.00122789645	-0.000107500463767396	-0.09144774658	0.001395246988	-0.000127592192975132	-0.08813546298	0.001347375226	-0.000118751539351292	-0.09154270308	0.001438202654	-0.00013165695852399	-0.09107741796	1.611532962E-07	-1.46774261136391E-08	-0.09531163018	6.1275192632E-07	-5.84023849934945E-08	-0.0877479044	0.00136127181	-0.000119448748646295	-0.09133240942	0.001461423042	-0.000133475287607766	-0.08619707586	0.001713997812	-0.000147741599424838	-0.0915087916	0.0017464926	-0.000159819427364342	
-0.08254551692	0.00127775677	-0.00010547309307768	-0.08772499136	0.001364336032	-0.000119686366619337	-0.08409171772	0.001341034604	-0.00011276990337232	-0.08719491394	0.001422287724	-0.000124016255692098	-0.0817805573	0.0013531525	-0.000110661565561888	-0.08620724594	0.001402698136	-0.000120922743189732	-0.08371912462	0.001373437268	-0.000114982965797444	-0.08734149958	0.001443635918	-0.00012608932592567	-0.08258807808	0.001224267962	-0.000101109938036498	-0.08702525538	0.001373242406	-0.000119506771080796	-0.0833788272	0.001345727676	-0.000112205195355462	-0.08780340994	0.001424262202	-0.000125055077984253	-0.08742266306	5.111653252E-07	-4.46874339929149E-08	-0.09107527196	5.6749971232E-07	-5.16851906367658E-08	-0.08381505988	0.0013616052	-0.000114123021370919	-0.0862313512	0.001449170774	-0.00012496395396157	-0.08156809704	0.00168813848	-0.000137698243353598	-0.0864890987	0.00171296902	-0.000148153146640822	
-0.07884852416	0.001278975808	-0.000100845354897144	-0.08313266798	0.001338188562	-0.00011124718541938	-0.07964988574	0.0013409441	-0.000106806044348727	-0.08287173506	0.001410221084	-0.000116867468049274	-0.07814368478	0.001353366756	-0.000105757065172595	-0.08234390912	0.001394074356	-0.000114793532076986	-0.07965133	0.001373499142	-0.000109401033414159	-0.08391428554	0.00143318358	-0.000120264576163359	-0.07912167186	0.00122822984	-9.71795983691403E-05	-0.08365416662	0.00135267112	-0.000113156575254542	-0.07935536088	0.001345987182	-0.000106811298567464	-0.0828457379	0.001408505196	-0.000116688652298604	-0.0836594627	3.587854184E-07	-3.00157953279387E-08	-0.08676629966	5.2224749752E-07	-4.53134828665054E-08	-0.07965207506	0.001361543324	-0.00010844975104069	-0.08121711152	0.001437375646	-0.000116739498137314	-0.07749909668	0.001666912422	-0.000129184206949671	-0.08240544756	0.001686945302	-0.000139013482620549	
-0.07531654446	0.001282356794	-9.65826824888841E-05	-0.07908370708	0.001314829184	-0.000103981566047691	-0.07507107194	0.001339786936	-0.000100579241456728	-0.07770529314	0.001396659272	-0.000108527818147459	-0.07445499902	0.00135452392	-0.000100851077136167	-0.07782654662	0.001386195852	-0.000107882836100129	-0.07541084748	0.001373589648	-0.000103583559445435	-0.0795695444	0.00142299075	-0.000113226725662914	-0.07552177184	0.001232282222	-9.30641368123722E-05	-0.0801427979	0.00133319512	-0.000106845987063426	-0.07427383498	0.00134472289	-9.98777260256887E-05	-0.07907746404	0.001394655248	-0.000110285800221917	-0.07932112794	2.064055122E-07	-1.63723180407374E-08	-0.08262633536	3.2461537672E-07	-2.68217789798795E-08	-0.07548490534	0.00136198384	-0.00010280922123701	-0.07771284412	0.001426280542	-0.000110840317431835	-0.07398068736	0.00164967687	-0.000122044228764493	-0.0783221135	0.001661300224	-0.000130116544701703	
-0.0704134121	0.001280832996	-9.01878215786256E-05	-0.07565370182	0.001301617384	-9.84721734528644E-05	-0.07050468928	0.001338551274	-9.43741416587182E-05	-0.07373484374	0.001385490288	-0.000102158909888968	-0.07014355438	0.001354631048	-9.50186365802244E-05	-0.07374638536	0.001378683984	-0.000101672960373724	-0.07077261026	0.001373194382	-9.71845508085076E-05	-0.07429345322	0.001411838388	-0.000104890349233078	-0.0704036531	0.001226356028	-8.63399443724059E-05	-0.07537087706	0.001313035722	-9.89646539782503E-05	-0.0699985388	0.00134533241	-9.41713029002825E-05	-0.0745323246	0.00138111006	-0.000102937343300245	-0.07487187558	-2.341109464E-07	1.75283256507769E-08	-0.07834799362	1.08651491072E-06	-8.51262632931254E-08	-0.0713175438	0.001362017086	-9.71357131871534E-05	-0.07353463882	0.001414897302	-0.000104043962069962	-0.069590602	0.001625419836	-0.000113113944889981	-0.07404694074	0.001635074256	-0.000121072246539532	
-0.0661327234	0.001280725868	-8.46978895796689E-05	-0.07120349814	0.001286424646	-9.15979348887112E-05	-0.06618341476	0.001338308388	-8.8573819119791E-05	-0.07013506898	0.001375433214	-9.64661033412731E-05	-0.06632797108	0.00135574296	-8.99236798427936E-05	-0.07012834648	0.001373914954	-9.63503839281652E-05	-0.06635944174	0.00137256824	-9.10828621564543E-05	-0.06989969188	0.001402588466	-9.80405016078419E-05	-0.06656593794	0.001227620318	-8.17176979018711E-05	-0.07069661854	0.001296471564	-9.16561556080652E-05	-0.06554865218	0.001345439536	-8.81917481744846E-05	-0.07008960392	0.001369410052	-9.59814081487466E-05	-0.06957200246	2.53966524E-08	-1.76689596324856E-09	-0.07457750008	1.115143863E-06	-8.3164641532094E-08	-0.06656356988	0.0013616052	-9.06333028791714E-05	-0.06866042446	0.001402492654	-9.62957409256719E-05	-0.06621532636	0.001608460416	-0.000106504731382581	-0.06936450244	0.001607250608	-0.000111486138720307	
-0.06179204166	0.001279749714	-7.90783476418611E-05	-0.06596272936	0.001273138966	-8.39797210519283E-05	-0.06144853088	0.001336265574	-8.21115563878199E-05	-0.06552720796	0.001366307042	-8.95302856783465E-05	-0.06246190748	0.00135650486	-8.47298810614903E-05	-0.06557172902	0.001368124518	-8.97102901599141E-05	-0.06219931056	0.00137241586	-8.53633202936095E-05	-0.0656796304	0.001394726586	-9.16051266775338E-05	-0.06204001378	0.001224498838	-7.5967924783114E-05	-0.06625561048	0.00128314063	-8.50152657723418E-05	-0.06109426164	0.001345546664	-8.22051799392452E-05	-0.06616938222	0.001361012534	-9.00573585684567E-05	-0.06536639998	2.53966524E-08	-1.66008773893143E-09	-0.06954594742	1.312775985E-06	-9.12982496270487E-08	-0.06189673354	0.001360752796	-8.4226153227822E-05	-0.06468077932	0.00139225457	-9.00521105994315E-05	-0.06251059796	0.001589886692	-9.93847678055663E-05	-0.06566598678	0.001586284058	-0.000104164907981953	
-0.05764459416	0.001280009222	-7.37856121232473E-05	-0.06212640976	0.001266174744	-7.86628909735071E-05	-0.0566781934	0.001333246604	-7.55660088714052E-05	-0.06141425892	0.001359297566	-8.34802526676498E-05	-0.05740238604	0.00135592397	-7.78332711668294E-05	-0.06071590592	0.001362548338	-8.27283567014604E-05	-0.05744298972	0.00137046355	-7.87235236142847E-05	-0.06107392634	0.001387886114	-8.47636542947448E-05	-0.05760027404	0.001222167886	-7.03972051564875E-05	-0.0619346511	0.001272383532	-7.88046301198057E-05	-0.05603271428	0.001343763358	-7.52947082987473E-05	-0.06173636406	0.001353364908	-8.35518286663164E-05	-0.06077572644	8.77338999999999E-09	-5.33209150591431E-10	-0.06499573446	8.556362658E-07	-5.56127075262828E-08	-0.05765111476	0.00136137894	-7.84850135017872E-05	-0.06087172768	0.001384302186	-8.42648656930207E-05	-0.05854281048	0.001568067736	-9.17990922884507E-05	-0.06173923334	0.001564036592	-9.65624201057864E-05	
