V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
0.07368510782	0.001256944084	9.26180603532511E-05	0.0736256579	0.001355222	9.97791113505538E-05	0.07715705554	0.001238088124	9.55272341468824E-05	0.06869251368	0.00114923517	7.89438526367621E-05	0.0764640197	0.001337862792	0.000102298366883385	0.06699743818	0.00129492329	8.67565430696172E-05	0.07750363902	0.001365360902	0.00010582043848063	0.06772094716	0.001307455382	8.85421168384796E-05	0.0748676065	0.00130269536	9.75296836018558E-05	0.06763591834	0.001221429998	8.26125396027544E-05	0.07591896982	0.001341723086	0.000101862234472831	0.06760179384	0.001272687136	8.6035933390692E-05	0.0773010004	0.0013114011	0.00010137261695566	0.0685957466	0.001196668266	8.20863531387974E-05	0.07602386796	0.001425977626	0.000108408334752938	0.06921788594	0.001381718654	9.56396441937423E-05	0.07496966002	0.0010584490694	7.93515668814034E-05	0.06719370702	0.001073276558	7.2117430589686E-05	
0.0832613584	0.001250124202	0.000104087039227236	0.0833156819	0.00135544713	0.000112930001915348	0.0851950496	0.001237309602	0.000105412652912946	0.07724095528	0.001143337606	8.83124888949883E-05	0.08570510982	0.001336141362	0.000114514142165254	0.07610655528	0.001292456582	9.83644183049829E-05	0.08558393352	0.001367341842	0.000117022493304842	0.07651405464	0.001305429192	9.98836805253391E-05	0.08426965038	0.001298564478	0.000109429574556947	0.0765263711	0.001215944322	9.30518064223099E-05	0.08558527468	0.001338280222	0.000114537080398681	0.07652027796	0.001268025234	9.70296433659741E-05	0.08582959252	0.001311005836	0.000112523096695222	0.07645211132	0.001196408758	9.1467975550839E-05	0.08412382026	0.00142561099	0.000119927842683441	0.0774385855	0.001379906718	0.000106858024363867	0.08293947918	0.0010283110952	8.52875866709034E-05	0.07567321442	0.0010415815372	7.88198230004488E-05	
0.09152163202	0.001252590926	0.000114639165800963	0.09155959202	0.0013514142	0.000123734932802035	0.0946000101	0.001231823924	0.000116530555651822	0.08555627374	0.001137151904	9.72904795825862E-05	0.09455085304	0.001336446122	0.0001263621208771	0.08493733238	0.001289363732	0.000109515115863601	0.09426618624	0.00136775373	0.000128932927842635	0.0847679844	0.00130419353	0.000110553856805621	0.09327032426	0.001297300186	0.000120999609010778	0.08495146604	0.001213658624	0.000103102079380889	0.09398126186	0.001338827866	0.000125824732260011	0.08481016632	0.001266270558	0.000107392616630099	0.0946247927	0.001310289188	0.000123985842791551	0.08549178546	0.001190923082	0.000101814140625706	0.09263972896	0.00142462283	0.000131976672841428	0.08563309386	0.001379404326	0.000118122660119248	0.0922302865	0.0009921065532	9.15022716401635E-05	0.0845775548	0.0010066579096	8.51406645140474E-05	
0.10080730524	0.001243399418	0.000125343744665564	0.10051676172	0.00134830702	0.000135527455454743	0.10380641042	0.001224723944	0.000127134196382065	0.09434335688	0.001129363906	0.000106547982031149	0.10320158668	0.001336446122	0.000137923360302733	0.09418292282	0.00128622563	0.000121140489239396	0.10245879222	0.001369508408	0.000140318177418815	0.09331332002	0.001301998336	0.000121493787392676	0.10178984834	0.001297497818	0.000132072106115701	0.09457344076	0.00120494434	0.000113955732158087	0.10302423436	0.001338065966	0.000137853221670324	0.09308375598	0.001265142024	0.000117764171442059	0.10316644852	0.001309922552	0.000135140057526095	0.09435173518	0.001186899328	0.000111986011080776	0.1013644742	0.001424120438	0.000144355219395344	0.0937924696	0.001379359074	0.000129373494015629	0.10162858622	0.0009550329828	9.70586518354336E-05	0.09324103656	0.0009725248104	9.06792214020135E-05	
0.10931883936	0.00124375458	0.000135965807134284	0.10925044628	0.001350773744	0.000147572634355306	0.11167926638	0.001223826288	0.000136676022020399	0.10294234376	0.001122140176	0.000115515739744699	0.11188498284	0.001336417492	0.000149525048159496	0.10287963674	0.001282873272	0.000131981536206815	0.11152884308	0.001368610752	0.000152639573797409	0.1014976171	0.001300581664	0.000132005939739953	0.11055441804	0.001297147806	0.000143405420804193	0.102770486	0.001204746708	0.00012381240468806	0.11107560922	0.001338432602	0.00014866721666706	0.10155933136	0.001263008706	0.000128270319683219	0.11119283786	0.001310227312	0.00014568789306296	0.10286453768	0.00118595642	0.000121992858851928	0.110228419	0.001423725174	0.00015693497502052	0.10193021866	0.001379844844	0.000140647886665794	0.11056565214	0.0009184331768	0.000101547163139904	0.10221139698	0.0009369297878	9.5764902483213E-05	
0.1181099824	0.001230209914	0.000145300071290846	0.118094986	0.00134670588	0.000159039212044718	0.120009109	0.001220976322	0.000146528280513317	0.11059970634	0.001117202144	0.000123562229048818	0.1208621298	0.001336174608	0.00016149290890756	0.11203479544	0.00127874239	0.000143263642084107	0.1204022382	0.001368734504	0.000164798697783167	0.11000223986	0.001297838826	0.000142765177837273	0.1192929864	0.0012953645	0.000154527899681543	0.11163741194	0.001200327692	0.000134001477014793	0.1200079208	0.001335294498	0.00016024591636066	0.11010549132	0.001260723008	0.000138812526214268	0.1192523928	0.001312558264	0.000156525713671414	0.11112024522	0.001184692128	0.000131643279773564	0.1192056286	0.001423906184	0.000169737631731147	0.11081927836	0.00137884006	0.000152802060423059	0.1189753372	0.0008852596094	0.000105324060537905	0.11133814654	0.0009002228544	0.000100229144081844	
0.1261607254	0.0012310755	0.000155313378102168	0.1263875392	0.001341807364	0.000169587730816399	0.1294846544	0.001214181102	0.000157217820371481	0.1194380314	0.00110760221	0.000132289827536689	0.1292207634	0.001336631748	0.000172720574861236	0.1216071164	0.00127278295	0.000154779464352585	0.1289702758	0.001369694036	0.000176649817584535	0.1182251598	0.001295660254	0.000153179640575659	0.1273713144	0.001295866892	0.000165056269321483	0.120546574	0.001196563446	0.000144241623988934	0.1283529194	0.001333527816	0.000171162188284706	0.119285448	0.001255756346	0.000149793458311453	0.1287827952	0.001310103562	0.000168718798715836	0.1204623612	0.001178139792	0.000141921501167997	0.1286708998	0.001422337134	0.000183013398850733	0.119914953	0.00137871631	0.000165328701513983	0.1284191088	0.000845855089	0.000108623956703325	0.1193757594	0.0008696111166	0.000103810487426807	
0.1353777176	0.001222014024	0.000165433469444312	0.1348413632	0.001346065424	0.000181505296728546	0.1374809828	0.001211590644	0.000166570672488405	0.1282443322	0.001098154656	0.000140832110511041	0.1371779644	0.0013374389	0.000183467145811375	0.1302805558	0.001269797228	0.000165429888617139	0.1384803844	0.001369084516	0.000189591350051768	0.1276422976	0.001288865034	0.000164513694236062	0.1356565744	0.001294462226	0.000175602311269359	0.1294457164	0.001191596784	0.000154247099364816	0.1369761312	0.001332004018	0.000182452757128495	0.1288638566	0.001249282508	0.0001609873619638	0.1367644122	0.001311520234	0.000179369293891416	0.1292587678	0.001174251794	0.000151782339979379	0.137212431	0.001421999128	0.00019511595723276	0.1291907324	0.001378456802	0.000178083843832142	0.1371262246	0.0008097742976	0.000111041292208005	0.1288407782	0.0008317303954	0.00010716079139593	
0.1431936228	0.001218716648	0.000174512451993792	0.1435274866	0.001349622862	0.000193707977240759	0.146212006	0.001208740678	0.00017673239926418	0.1361625954	0.00109248797	0.000148755997438477	0.1458468376	0.001336722254	0.000194956713495444	0.138551991	0.001267906794	0.000175671010711127	0.1464918064	0.001370608314	0.000200782887784718	0.1371031942	0.00128339598	0.000175957688281439	0.1443464382	0.001292436034	0.000186558538109234	0.1373727936	0.00119183967	0.000163726344991202	0.1452665922	0.001330265964	0.000193243203309928	0.1372076514	0.001247775332	0.000171204322778575	0.1455659552	0.001311153598	0.000190859325906787	0.1368055928	0.001175775594	0.000160852677136942	0.1459255698	0.001422439644	0.000207570315556809	0.138743077	0.001375849722	0.000190889623919875	0.1452653718	0.000776481597	0.000112795887884063	0.1367140142	0.0008019876848	0.000109642955727972	
0.1525866622	0.001199537914	0.000183033486479611	0.1519825792	0.001348307016	0.000204919177845136	0.1546336768	0.001205297816	0.00018637963292709	0.1449588106	0.001082340392	0.000156894775888658	0.1546620784	0.0013357461	0.000206589268040694	0.1473564504	0.001265271084	0.000186445855732	0.1551113424	0.001372148736	0.000212835832413423	0.146783961	0.001277576914	0.000187527799919076	0.153267206	0.001288931296	0.000197550898463879	0.146343979	0.001185608718	0.000173506697329209	0.1548718288	0.001326485094	0.00020543517238372	0.1464775356	0.001241346746	0.000181829412179159	0.1545618092	0.001310420328	0.000202540936708137	0.1455702258	0.001170228042	0.000170350360311432	0.1555680314	0.001421999128	0.000221217604995477	0.1471911934	0.001376018724	0.000202537838126305	0.1538793902	0.00074079607	0.000113993247514156	0.1448232276	0.0007704164154	0.00011157419187425	
0.1611875506	0.001196785896	0.000192906987168866	0.1612524616	0.001345780128	0.000217010358412363	0.164032044	0.00119760494	0.000196445586212697	0.1545831978	0.00106996899	0.000165399228021036	0.1624398702	0.001335988984	0.00021701787714959	0.1556638426	0.001264785316	0.000196881342352615	0.163206794	0.001372832136	0.000224055531616732	0.155798586	0.001275245964	0.000198681517993407	0.1627263278	0.00128440515	0.000209006533466908	0.1546654506	0.001182730122	0.000182927487257323	0.1641835028	0.001324639912	0.000217484020700844	0.1556349166	0.001236956358	0.00019251359961517	0.1637271176	0.001306977466	0.000213987653276332	0.1538860522	0.001168551864	0.000179823833141911	0.1643584136	0.001421665738	0.000233662725367153	0.1559749148	0.001374342544	0.000214362961206415	0.1631532676	0.0007004938936	0.000114287867674687	0.1530025812	0.0007389809024	0.000113065985524705	
0.1701733206	0.001181960318	0.000201138112131492	0.1692446684	0.001354711572	0.000229277710780783	0.1714563466	0.001197176428	0.000205263496580518	0.1632567632	0.001060476184	0.000173129909250528	0.1712096418	0.001334115172	0.000228413380718065	0.1638054624	0.001263871036	0.000207028979465947	0.1719700966	0.001372374996	0.000236007460633545	0.1647052766	0.001273676914	0.000209781308419404	0.171724022	0.001280369392	0.000219870181639935	0.1640865212	0.001172780176	0.000192437419212164	0.172394376	0.001325323312	0.000228478285370493	0.1637961942	0.001236742102	0.000202573649514508	0.1720539174	0.001305515542	0.000224619063227684	0.1622109472	0.001167180446	0.000189329445698978	0.1727767238	0.001421970498	0.000245683403984694	0.1645333776	0.001372987748	0.000225902311581858	0.1705532834	0.0006695607728	0.000114195788236881	0.1622359354	0.000700902549	0.000113711580661259	
0.177798656	0.001179753658	0.000209758614803484	0.1789577772	0.001349077504	0.000241427911386364	0.180013099	0.001192955044	0.000214747534438121	0.1723698772	0.001047264384	0.000180516833266014	0.179839196	0.001333748536	0.000239860264380417	0.1715331558	0.001263475772	0.000216727986448001	0.180711013	0.00137078932	0.000247716726626781	0.1731213046	0.001275245964	0.000220772244973565	0.1806754856	0.001276667024	0.000230662434510707	0.17189228	0.001172520668	0.000201547250969643	0.1813210438	0.001322856604	0.000239861740235003	0.17154177	0.001238051646	0.000212377570706253	0.1805653882	0.001304753642	0.000235593347873094	0.1697757198	0.00116872087	0.000198420426949532	0.1817508906	0.001421941868	0.000258439200890428	0.1723784556	0.001372744864	0.000236631639589152	0.178391828	0.000635946689	0.000113447692361258	0.1698744632	0.0006717979868	0.000114121322386491	
0.1869517236	0.001172293322	0.00021916225711267	0.1880270698	0.001344464284	0.000252795679771275	0.1881271948	0.001189190798	0.000223719128909713	0.1816772394	0.001033883582	0.000187833115038744	0.1884175732	0.001332896132	0.000251141054519107	0.1809200436	0.001258340106	0.000227658946841149	0.189626518	0.001370089296	0.000259805262549551	0.1810255518	0.001278338816	0.000231411989553759	0.1895118468	0.001271547984	0.000240973406742657	0.1807105668	0.00116779689	0.000211033237899177	0.1909127712	0.001319063728	0.000251826111701883	0.180371345	0.001235415936	0.000222833634010754	0.1894958612	0.001303444098	0.000246997261876567	0.1786886234	0.001163539952	0.000207911352293782	0.190347405	0.001420356194	0.000270361115703576	0.180369586	0.0013740424	0.000247835458834446	0.1871227248	0.0005975922048	0.000111823081681416	0.1790859384	0.0006346625418	0.000113659136865582	
0.1949986624	0.001172068192	0.000228551729681586	0.1969805634	0.00134129694	0.000264209426927896	0.1969723074	0.001183536118	0.000233123840053699	0.1900462126	0.001024345522	0.00019467298684987	0.1969171866	0.00133330802	0.000262551264169616	0.189914947	0.001254666364	0.000238279896021743	0.1992186254	0.001366308428	0.000272194086898595	0.1888609276	0.001280822148	0.000241897258961904	0.1986756332	0.001265407534	0.0002514056430735	0.1892243846	0.00116318024	0.00022010206509288	0.198980192	0.001319018476	0.000262458549606027	0.1891096602	0.001234880298	0.000233527793542455	0.1987685354	0.00130158691	0.000258714523796512	0.186981749	0.00116166614	0.000217210366611279	0.1987700278	0.001418251504	0.000281905890877472	0.1896584318	0.001371147182	0.000260049624305109	0.1948403342	0.0005628043338	0.0001096569844868	0.1878825984	0.0005986103794	0.000112468473510882	
0.2034997362	0.001164157596	0.000236905763681226	0.205038726	0.001341487136	0.000275056813310829	0.2055287412	0.001177898062	0.00024209190594478	0.1983968554	0.0010147003366	0.000201313355954762	0.206437696	0.001331738968	0.000274921124227338	0.1987954468	0.001250078344	0.000248509882930484	0.2075584892	0.00136693457	0.000283718874184452	0.1975665844	0.001278598324	0.000252608303692245	0.2073738698	0.001259250462	0.000261135641352378	0.1980264372	0.001157508938	0.000229217371019296	0.2073187874	0.001317951818	0.000273236172759386	0.1974909982	0.001234180274	0.00024373949427101	0.207776947	0.001301570286	0.000270436300330997	0.1965184944	0.001153025738	0.000226590882036209	0.2073482784	0.001416270566	0.000293661263608694	0.1977300394	0.001373173374	0.000271517625344051	0.203621142	0.0005220283944	0.000106296017824154	0.1968047626	0.0005603510172	0.000110279748912715	
0.2124465712	0.001157848138	0.000245980866888404	0.2143511622	0.001334216996	0.000285990963719593	0.2143947804	0.001170250438	0.000250895585668014	0.206938832	0.001003547974	0.000207673045595526	0.215691662	0.00133086994	0.00028705754926444	0.2077171668	0.001246178342	0.000258852634527761	0.2165142026	0.001366156046	0.000295792186926859	0.2070175252	0.001272762634	0.000263484170657713	0.2156726388	0.001255943356	0.000270872617771848	0.2059760918	0.001157294684	0.000238375036071236	0.216410467	0.00131422082	0.000284411141397323	0.2060280912	0.001232475466	0.00025392456771081	0.2157288212	0.00130612506	0.000281768819533579	0.205434444	0.001149080482	0.000236060709930922	0.2150627172	0.00141636107	0.000304606460250499	0.2063990408	0.001372654358	0.00028331454284114	0.212482552	0.0004809024428	0.000102183378309178	0.2053923986	0.0005239488428	0.000107615109566386	
0.2213294808	0.001148526598	0.00025420279562033	0.2227943338	0.001336268394	0.000297713026619226	0.223700241	0.001160300492	0.000259559499692819	0.214892229	0.000996616998	0.000214165248159509	0.2241066142	0.001329865156	0.000298031577453715	0.216844613	0.001241849828	0.000269288445356777	0.224114363	0.001368441746	0.000306687450207398	0.2148416132	0.001272915014	0.000273475115074261	0.223966777	0.001252669496	0.000280556349665334	0.2145095698	0.001152418528	0.000247204802670829	0.2251100994	0.001312816154	0.000295528174920866	0.215334949	0.001226927914	0.000264200459787866	0.225299177	0.001304601262	0.000293925590641761	0.2144865516	0.00114457096	0.000245495078271902	0.2243471226	0.001414470636	0.000317332417188792	0.2154217234	0.00137041391	0.000295216926263532	0.2215661164	0.0004384050722	9.71357092574156E-05	0.213995255	0.0004868918966	0.000104192555570351	
0.2305743788	0.001138219144	0.000262444172066068	0.231981204	0.001332971018	0.000309224221652746	0.2321570476	0.00115444818	0.000268013281075993	0.2229214092	0.000987400322	0.000220112671224774	0.2328479758	0.001329543772	0.000309581576047697	0.2250213684	0.001240066522	0.000279041465687469	0.2330300606	0.001368013236	0.000318788207286682	0.2235393432	0.001269257896	0.000283729076423254	0.2326589892	0.00124921001	0.000290639938225122	0.2227572872	0.001147451866	0.000255603264862738	0.2331767614	0.001313516178	0.000306281448432546	0.224240245	0.001223101792	0.000274268645498019	0.2339157314	0.00130458464	0.000305162870238806	0.223408401	0.001140732834	0.000254849298412138	0.2329600618	0.00141509678	0.000329661033321781	0.2236523806	0.001369894896	0.000306380254662189	0.2298428792	0.0003992314304	9.17605014302704E-05	0.2226049606	0.0004488587954	9.99181944649805E-05	
0.2391592888	0.001131494362	0.00027060738689713	0.2400413324	0.001334762354	0.00032039813389152	0.2409917596	0.001146100532	0.000276200783885176	0.2310086174	0.0009787765432	0.000226105815988183	0.2422632756	0.001327867592	0.000321693552401004	0.2328690488	0.001238406968	0.000288386652665452	0.2412744822	0.001369689414	0.000330471104137671	0.2322094862	0.001266469804	0.000294086302474655	0.2412935554	0.001245705272	0.000300580654061404	0.2311866966	0.001143275732	0.000264310139784027	0.2422197384	0.001310880468	0.00031752112403263	0.2330875778	0.001217830372	0.000283861131580753	0.242394163	0.00130427988	0.00031614982983034	0.2324886654	0.00113670908	0.000264271976957262	0.2415461148	0.00141616344	0.000342068776853803	0.2327166634	0.001366192526	0.000317935766212738	0.2392959776	0.000355955537	8.5178728208548E-05	0.2312100372	0.0004104756822	9.49060977511574E-05	
0.2478591114	0.001126015556	0.000279093215132737	0.2485559752	0.00134116691	0.000333355049221021	0.2492913554	0.001140660108	0.00028435670437403	0.2394777926	0.000965976631	0.000231329951295065	0.2500786754	0.001329786656	0.000332551285497075	0.2420952386	0.001233135546	0.000298536244235011	0.2498856464	0.001369825172	0.000342299648560211	0.2412708526	0.00126305557	0.000304738494255079	0.2492874762	0.001246924312	0.000310842614750901	0.2394498246	0.00113904234	0.000272743488524974	0.2503063128	0.001310789962	0.000328099002243472	0.2417329234	0.001215301788	0.000293778454026487	0.250329868	0.00130630607	0.000327007426070699	0.2405900158	0.001136968588	0.000273543290551024	0.2501367952	0.001417489606	0.000354566307274151	0.241762555	0.001361835384	0.000329240801925246	0.2468853572	0.0003222509486	7.95590405531498E-05	0.2399979468	0.0003714664262	8.91511795931337E-05	
0.2555374042	0.001123548832	0.000287108752021222	0.256674259	0.001343668568	0.000344885134032991	0.2579638456	0.00113436728	0.000292625745871612	0.2481098222	0.0009528100836	0.000236401540432363	0.2582148416	0.001330808064	0.000343634393445763	0.2497988342	0.001231764128	0.00030769324318378	0.258832355	0.00136790611	0.000354058359870189	0.2493545106	0.00126473175	0.000315366566561532	0.2585455008	0.00124401247	0.000321633827057595	0.247957239	0.001133420906	0.000281039918476639	0.2591271358	0.001309051908	0.000339210871533565	0.2511739726	0.001208078058	0.000303437765038753	0.2593448138	0.001302846584	0.000337886504737446	0.249108276	0.001134011496	0.000282491648732741	0.2590255404	0.001417946746	0.000367284422141072	0.2510802574	0.00135728061	0.000340786364922829	0.2553063954	0.0002834725712	7.23723603478418E-05	0.2482301272	0.0003353690116	8.32486924084063E-05	
0.2649191574	0.001114167128	0.000295164216752538	0.265101322	0.00133735911	0.000354535668049743	0.2660033026	0.001131426808	0.000300963267578176	0.2574000628	0.0009350887622	0.000240691906113854	0.2673625202	0.001331767596	0.000356064740787255	0.2581172012	0.00122856415	0.000317113539892657	0.2678728584	0.001366444186	0.000366033309947881	0.2582476306	0.001262338924	0.000325996036137153	0.2677823448	0.00124053636	0.000332193735290457	0.2563482826	0.001129763788	0.00028961300679747	0.2676458366	0.001308063748	0.000350097816159592	0.2590598296	0.001207118526	0.000312715919652563	0.2676192322	0.001302648952	0.000348613912360375	0.2580864392	0.001127809172	0.00029107225329858	0.2675670738	0.001419075282	0.00037969782070665	0.2593601916	0.001355587808	0.000351585513613504	0.2631781108	0.0002465347582	6.48825519096108E-05	0.2567896074	0.0002966192632	7.61687441444053E-05	
0.272805459	0.001111795502	0.000303303882237245	0.2735212194	0.00133909028	0.000366269606272287	0.2751610636	0.001122910156	0.000308981152852202	0.2662398488	0.0009183269726	0.000244495234333986	0.2761857548	0.0013319366	0.000367861915216746	0.2665659538	0.001224466516	0.000326401084733703	0.2763925752	0.001365072766	0.000377295977130127	0.2679171098	0.00125583184	0.000336458836967616	0.276653713	0.001237838774	0.000342452692922468	0.2654894294	0.001120666246	0.00029752504219838	0.276291944	0.001306889962	0.000361083168195066	0.2683626268	0.001199713786	0.000321958343019133	0.277066749	0.001299313216	0.000359996488689855	0.2667536018	0.00112332828	0.000299651864693799	0.2769549164	0.001418556266	0.000392876132058726	0.268348312	0.001351840186	0.000362764032006866	0.2718067154	0.0002054993112	5.58560927942344E-05	0.2653818108	0.0002570789862	6.82240868763842E-05	
0.281176207	0.00110359961	0.000310305952386479	0.2820398578	0.001341426972	0.000378335872431965	0.2839357206	0.001116600704	0.000317042825512707	0.2756438614	0.0008991723566	0.000247851340437362	0.284365046	0.001333048512	0.000379072401435112	0.2757502252	0.001218083182	0.000335886711748833	0.284378632	0.001364417994	0.000388011322609904	0.276657329	0.001253850902	0.000346887041511561	0.2852171888	0.001236467356	0.000352661743321289	0.2742577444	0.001113092504	0.000305274239455588	0.2848163526	0.001307104216	0.000372284655269203	0.2762352936	0.00120026143	0.000331554568512806	0.2851472366	0.001301034646	0.000370986434027759	0.27549249	0.001117080704	0.000307747344675913	0.2852467088	0.00142014194	0.000405090814413847	0.2765856954	0.001351885438	0.000373912173970364	0.2795524826	0.00016693518912	4.66671465517965E-05	0.2736326372	0.0002210102006	6.0475604038279E-05	
0.290824696	0.001091786114	0.000317518364701071	0.2904741518	0.001337168912	0.000388413005526529	0.2932092832	0.001107869796	0.00032483770876409	0.2849269348	0.0008800962394	0.000250763123821249	0.2931884082	0.001331891348	0.000390495104215472	0.2835055072	0.001216299876	0.000344827713252677	0.2942119836	0.00135940608	0.0003999535593147	0.2847062992	0.001253105626	0.000356767065285159	0.2939814446	0.001233724518	0.000362692116040079	0.2836377854	0.001100840236	0.000312239886618253	0.294322152	0.00130471139	0.000384005464043711	0.2848221068	0.001195018638	0.000340367726140426	0.2938944948	0.001299572724	0.00038193726917584	0.2840623702	0.001110652118	0.00031549447310673	0.2941162372	0.001420553828	0.000417807946631416	0.2847999938	0.00135162593	0.000384943056483919	0.288098581	0.0001244378185	3.58503589325856E-05	0.2814252068	0.0001862675818	5.24203927282009E-05	
0.30015007	0.001086022014	0.000325969583523641	0.3000135612	0.001331690106	0.000399525091115865	0.3017906436	0.001102474624	0.000332716526329628	0.293572283	0.000865574896	0.000254108798326208	0.302456011	0.001329972284	0.000402258111759199	0.2923805534	0.001211530846	0.00035422805921465	0.3018531774	0.001360382234	0.00041063569981141	0.2936622666	0.001247908086	0.000366463517043228	0.3021937782	0.001231714952	0.000372216595010312	0.292741134	0.001089168858	0.000318844526608405	0.30217421	0.001306144684	0.0003946832380334	0.2923954426	0.001195018638	0.000349418003573259	0.303423822	0.001296344118	0.000393341686910779	0.2927914914	0.00110283549	0.00032290084788595	0.303861185	0.001420220438	0.000431549865251899	0.2938027618	0.001349035472	0.000396350347439767	0.2977867692	7.519047966E-05	2.23907300125497E-05	0.2891213198	0.00015260824574	4.41222974207115E-05	
0.3079683892	0.001080673238	0.000332813196358408	0.3084948478	0.00133796463	0.000412755194893633	0.3110531084	0.001093241326	0.000340056112683638	0.3017602632	0.0008523178442	0.000257195656995849	0.3110366726	0.001328600864	0.000413243591952045	0.3014326626	0.001205633282	0.000363417250312437	0.310556679	0.00135922507	0.000422116423752742	0.302163974	0.001244572352	0.000376064927810847	0.3104234246	0.001231472068	0.000382277776647804	0.3024146734	0.001072818956	0.000324436194196069	0.3107823962	0.00130425425	0.000405339261069034	0.3013279454	0.001189397204	0.000358398615745825	0.311758107	0.001297106016	0.000404383316126472	0.3011219712	0.001097242686	0.000330403880493103	0.3116327018	0.001421789488	0.000443076099536279	0.302524782	0.001348854464	0.000408061902671327	0.306604422	3.158119744E-05	9.68293478715908E-06	0.298522289	0.000107718048664	3.21562384537907E-05	
0.3162523212	0.001070746176	0.000338625963576024	0.3171039852	0.001338830216	0.000424548396999777	0.3189950292	0.00108912707	0.00034742612149716	0.3104744188	0.0008382083884	0.000260242262221775	0.3199804012	0.00132622466	0.000424365898788134	0.3097038462	0.00120249518	0.000372417382282961	0.318830971	0.001358113158	0.000433008536893016	0.310385057	0.00124303193	0.00038581853644587	0.3188332402	0.001228486344	0.000391682281598972	0.3109777698	0.001065092834	0.000331220194147281	0.319462942	0.001300901892	0.000415589945671686	0.3093553518	0.00118765915	0.000367408714166739	0.3191180442	0.00130100602	0.000415174496594826	0.3092724718	0.001093083176	0.000338060535724514	0.3194071354	0.001423070402	0.000454538840575346	0.3120858184	0.001345790242	0.000420002049069304	0.3156434054	-1.271610316E-05	-4.0137541048401E-06	0.3071403696	6.6913480224E-05	2.05518310472217E-05	
0.3255442758	0.001061519734	0.000345571673052439	0.3256012538	0.001337003948	0.00043533016180435	0.3272946242	0.001084431922	0.000354928738381474	0.3185545252	0.0008243870692	0.000262612231410026	0.3283843822	0.001324898494	0.0004350759734299	0.3179461746	0.001199780972	0.00038146577040527	0.3283135606	0.001354715548	0.00044477148516406	0.3188241724	0.001240684356	0.000395560163011327	0.326690053	0.001227876824	0.000401135144710032	0.3195038918	0.001055402396	0.000337205172937045	0.3285331886	0.001296709136	0.000426011987136831	0.3184351736	0.001179554386	0.000375611605676551	0.3280493416	0.001298353686	0.000425924071856233	0.3182406792	0.001084064134	0.00034499330630052	0.3286519724	0.001421698984	0.000467244175250676	0.3209340396	0.001344373572	0.000431455241193441	0.3246092034	-5.651101188E-05	-1.83439945496947E-05	0.3154808692	2.5697024184E-05	8.10691952542174E-06	
0.3335213274	0.001053609138	0.00035140111826653	0.3351581684	0.001334347028	0.000447217305914463	0.334884702	0.001082253352	0.000362430091273021	0.3269982054	0.0008088276954	0.000264485204873618	0.3369922498	0.001323481822	0.000446003116765183	0.3272329286	0.001193945284	0.000390698211871479	0.3369660756	0.001353344128	0.000456031059748464	0.3281195504	0.001235136804	0.000405272532810973	0.3351421696	0.001224800596	0.000410482329070813	0.3276736726	0.0010485453	0.000343580689338469	0.3366630768	0.001294406814	0.000435778980632125	0.326670338	0.00117670442	0.000384394430607494	0.3365730562	0.001296570378	0.000436390654701849	0.3265541008	0.00108095466	0.00035299017700187	0.3372902826	0.001421806112	0.000479561385318887	0.3295996196	0.001342178378	0.000442381482824145	0.3338859376	-0.00010271075266	-3.42936759534858E-05	0.324375386	-1.8200394616E-05	-5.90376002891732E-06	
0.3423860378	0.00103727752	0.00035514934017181	0.3428441354	0.001339981096	0.000459404660310464	0.3438310304	0.001074329596	0.000369387851981896	0.3357639202	0.0007891706874	0.000264975043708353	0.3453760016	0.001322003276	0.000456588205566981	0.3357949468	0.001188719116	0.000399165872317363	0.3454982228	0.001352915618	0.000467429941617364	0.3369028952	0.001231146298	0.000414776752210962	0.344196182	0.00121920779	0.000419646666382658	0.335539556	0.001044064408	0.000350324907895723	0.345877853	0.001289073516	0.000445861980073241	0.3359415546	0.001169040172	0.000392729172771531	0.3442793778	0.001298884704	0.000447179217727057	0.3355996788	0.001071828488	0.00035970529630149	0.3454955116	0.001421698986	0.000491190618509271	0.3380172984	0.001340395072	0.000453076721026113	0.3410701432	-0.00013675334742	-4.66424837876187E-05	0.3328879398	-6.0833521956E-05	-2.02507457947109E-05	
