V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.100338658	0.00132903027	-0.000133353113733178	-0.101394654	0.00134446428	-0.000136321490485959	-0.0946224287	0.00128634269	-0.000121716869468291	-0.107396574	0.00142515732	-0.000153057013579022	-0.0945962469	0.00134321271	-0.000127062881154378	-0.10611825	0.00146299371	-0.000155250332266208	-0.0988259347	0.0013891414	-0.000137283197285467	-0.105680628	0.00147278758	-0.000155645116365	-0.0943650277	0.00132472857	-0.000125008048203031	-0.105689302	0.00148100686	-0.000156526581290612	-0.0938778868	0.00135705158	-0.000127397134609001	-0.106625036	0.0014870478	-0.000158556525208721	-0.0957054927	0.00131558924	-0.000125909116405019	-0.10613012	0.00148176183	-0.00015725956082932	-0.097905149	0.00143171081	-0.000140171860177961	-0.103274283	0.0015106967	-0.000156016118522966	-0.095742257	0.00167363353	-0.000160237451553077	-0.10480342	0.00172577286	-0.000180866897871181	
-0.0912152121	0.001323136142	-0.000120690143829706	-0.0915565548	0.00135778382	-0.000124314008722383	-0.08727968108	0.001290428316	-0.000112628171877081	-0.09571562118	0.001395821878	-0.000133601958109404	-0.08750336766	0.001346853208	-0.000117854191443674	-0.09719685266	0.001447467584	-0.000140689293492174	-0.08745255682	0.001382082056	-0.000120866609532242	-0.09539543302	0.00146888296	-0.000140124726024899	-0.08811591842	0.001332861962	-0.000117446355908713	-0.09650345344	0.00146140711	-0.00014103083299677	-0.08681950592	0.001362001614	-0.000118248307189723	-0.09564338816	0.001472752718	-0.000140859059871369	-0.08893121856	0.001322170202	-0.000117582207207581	-0.09703165364	0.001464452398	-0.000142098237855003	-0.08648459466	0.001429329986	-0.000123615024474593	-0.09436100074	0.001496563234	-0.000141217204430931	-0.08681242106	0.001642428898	-0.000142583229054288	-0.09537347744	0.001685108664	-0.000160714673149953	
-0.08274458786	0.001324131758	-0.000109564736588047	-0.08193997202	0.001356087584	-0.000111117778689629	-0.0785205696	0.001286223554	-0.000100995006093016	-0.08676460658	0.001366017292	-0.000118521952921857	-0.07903978012	0.001346305564	-0.000106411695752893	-0.08851111498	0.00143282249	-0.00012682071615832	-0.07966772808	0.001384384378	-0.000110290758184704	-0.08687718062	0.001457730598	-0.000126643524457747	-0.07913959902	0.001331078656	-0.000105341031099921	-0.08839557656	0.001439814416	-0.00012727322544172	-0.07907830874	0.001365811112	-0.000108006032795259	-0.0872789234	0.001454879016	-0.000126980274193731	-0.07923783676	0.001318665464	-0.000104488198777482	-0.08798652752	0.001448423878	-0.000127441787402272	-0.07871067436	0.001430137138	-0.00011256705855926	-0.08681950686	0.001485044236	-0.000128930808234805	-0.07731290772	0.001609119574	-0.000124405713135108	-0.08702955904	0.001649727896	-0.000143575091324867	
-0.07382585388	0.001321699968	-9.75756287107687E-05	-0.07304146726	0.001359965252	-9.93338574286956E-05	-0.0702096284	0.001286133048	-9.02989233730393E-05	-0.07811146466	0.001340174582	-0.000104682999500123	-0.06998691614	0.001345848424	-9.41917807876391E-05	-0.07925296946	0.001416884476	-0.000112292302104776	-0.0707545099	0.001383910616	-9.79179173804871E-05	-0.07855000518	0.00144796166	-0.000113737395893441	-0.07135343722	0.001332495328	-9.50781217323913E-05	-0.07975752774	0.001415569388	-0.000112902314731305	-0.07132373084	0.001368203938	-9.75854094081401E-05	-0.07787288768	0.001435848152	-0.000111813641866232	-0.0709251829	0.001318710716	-9.352979872449E-05	-0.07958394884	0.001428326354	-0.00011367185148356	-0.06970138116	0.00143048715	-9.97069300866321E-05	-0.07811525046	0.001473632366	-0.000115113161356052	-0.0689663896	0.00158131255	-0.000109057417402669	-0.0781104435	0.00161267095	-0.000125966443124066	
-0.0649462473	0.001316005736	-8.54696339784745E-05	-0.06416813796	0.001360605708	-8.73075347801075E-05	-0.061487362	0.001283587842	-7.89244302998528E-05	-0.06943200386	0.001313327088	-9.11869314434586E-05	-0.0611056595	0.001345498412	-8.22175678214627E-05	-0.07039574928	0.001401646486	-9.8669954607649E-05	-0.06144639064	0.00138293446	-8.49763310586775E-05	-0.0694831911	0.00143421884	-9.96541017389403E-05	-0.0619473385	0.001327635796	-8.22435040595289E-05	-0.07068842944	0.00138739573	-9.80728251654623E-05	-0.06193988926	0.001365477724	-8.45775390115569E-05	-0.06860548166	0.00141549112	-9.71104500730528E-05	-0.06185881302	0.001316667902	-8.14475135592537E-05	-0.07009648488	0.001403550306	-9.83839428028484E-05	-0.06116486408	0.001430701406	-8.75086570370549E-05	-0.06896656212	0.00146494671	-0.000101032338277705	-0.06044230174	0.001551857976	-9.37978680430177E-05	-0.07037330564	0.001581144932	-0.000111270395560773	
-0.05574714106	0.001307134456	-7.28690089030184E-05	-0.05507690566	0.0013629424	-7.5066649984814E-05	-0.05273598568	0.001281516398	-6.75820304136132E-05	-0.06116241174	0.001292512916	-7.905320714766E-05	-0.05283042218	0.001346474566	-7.11348197764123E-05	-0.06096757944	0.001386837006	-8.45520953336368E-05	-0.05282812644	0.001381715422	-7.2993437017514E-05	-0.06214336542	0.001420459396	-8.82721273099005E-05	-0.05308104956	0.001325457226	-7.03566607029661E-05	-0.0620213332	0.001361919656	-8.44680727764054E-05	-0.0532136904	0.001364608698	-7.26158647725191E-05	-0.06087100764	0.00139655076	-8.50094519816078E-05	-0.0529372894	0.00131631789	-6.96823010853274E-05	-0.0605095185	0.001378300494	-8.34002992402521E-05	-0.05185668204	0.001430046634	-7.41574736017103E-05	-0.06120494348	0.001456170552	-8.91248363324004E-05	-0.05237805394	0.001523989076	-7.98235820266987E-05	-0.06103398416	0.001543630846	-9.42139406036514E-05	
-0.04692397464	0.001304217472	-6.11990675811729E-05	-0.04695127108	0.001365954482	-6.4133299167323E-05	-0.04425933416	0.001279292574	-5.66206375210725E-05	-0.0530420406	0.001276546272	-6.77106191872026E-05	-0.0442923194	0.001346322186	-5.96317322776182E-05	-0.05281118704	0.001374098968	-7.2567797610519E-05	-0.04454971804	0.001381472538	-6.15442120479032E-05	-0.05390173794	0.001406745204	-7.58260113343598E-05	-0.04415121684	0.001323538162	-5.8435820386477E-05	-0.05264751314	0.001337205482	-7.04005431844751E-05	-0.04416812102	0.001361318216	-6.01268677110185E-05	-0.052413002	0.001376103224	-7.21257010317185E-05	-0.04387231286	0.001314032192	-5.76496314355356E-05	-0.05263210046	0.001354710238	-7.13012453406065E-05	-0.04442540644	0.00143122042	-6.35825488637275E-05	-0.05301734884	0.001447637276	-7.67498904554794E-05	-0.04387483128	0.001495448782	-6.56125629981315E-05	-0.05274251446	0.00151233109	-7.97641443826325E-05	
-0.03832568694	0.001301395586	-4.98768798141339E-05	-0.0393684293	0.0013687065	-5.38838250777005E-05	-0.0357816666	0.001277937778	-4.57267435079408E-05	-0.0452639329	0.001262741576	-5.71566499661043E-05	-0.0349349878	0.001345391282	-4.70012280228964E-05	-0.0435621719	0.001361118046	-5.92932582960441E-05	-0.03633092286	0.001382127308	-5.02139606096475E-05	-0.04579360604	0.00139377629	-6.38260423321528E-05	-0.0347776509	0.00132120721	-4.5948483115943E-05	-0.044525621	0.001320291312	-5.87867905677048E-05	-0.03543171036	0.001359308648	-4.81626303057792E-05	-0.04306841688	0.001358336652	-5.85014091917195E-05	-0.03565637142	0.001313636928	-4.68395262157958E-05	-0.04366985976	0.001331029478	-5.8125870640686E-05	-0.0349506882	0.001430396644	-4.99933471067704E-05	-0.04340197106	0.001439956406	-6.24969462608736E-05	-0.03663032076	0.001471418008	-5.38985136050803E-05	-0.04348874484	0.00147632418	-6.42034855651422E-05	
-0.02980895438	0.001303542084	-3.88572265143661E-05	-0.03076164458	0.001369537152	-4.21292151089294E-05	-0.02732023522	0.001275668704	-3.48515690560726E-05	-0.03669709994	0.001250336928	-4.58837392054886E-05	-0.026975951418	0.001345893674	-3.63067623636175E-05	-0.03593525238	0.001351732366	-4.85748437224245E-05	-0.02761645596	0.001381015396	-3.8138750863716E-05	-0.03645092334	0.001379073938	-5.02685183942299E-05	-0.0258565066	0.001320033422	-3.41314528881636E-05	-0.03524363004	0.001301215194	-4.58595468997628E-05	-0.02669840784	0.001357372962	-3.62396969304648E-05	-0.0355432193	0.001346891534	-4.78728611662754E-05	-0.02721548644	0.001314003564	-3.57612461781537E-05	-0.03505546494	0.001311784358	-4.59852105707094E-05	-0.0264494931	0.001429663372	-3.78138714930367E-05	-0.03507758614	0.001433573074	-5.02862829912196E-05	-0.02786803564	0.001440332508	-4.01392376663946E-05	-0.0351924539	0.001445407682	-5.08674432154909E-05	
-0.021345493112	0.001301620716	-2.77837360278145E-05	-0.02183580638	0.001362812368	-2.97581069999173E-05	-0.01923670886	0.001274647296	-2.45200189323382E-05	-0.028450083382	0.001240127474	-3.5281730039609E-05	-0.018401384576	0.001345786546	-2.47643357901527E-05	-0.02782794426	0.001343153838	-3.73772101364691E-05	-0.019687795718	0.001381443908	-2.71975854565796E-05	-0.0287108038	0.001369259748	-3.93125479760655E-05	-0.0174009725436	0.001320016798	-2.29695760590888E-05	-0.0275595712	0.001292055776	-3.56085031530433E-05	-0.018862845408	0.001357220582	-2.56010420228218E-05	-0.02676818778	0.001333543978	-3.56965556159922E-05	-0.019080591174	0.001315115476	-2.50931807441564E-05	-0.026693790236	0.001294520176	-3.45556500344138E-05	-0.018560025032	0.001429646748	-2.65342794297974E-05	-0.02659440262	0.001427477878	-3.79629214186752E-05	-0.020341062474	0.001415206446	-2.87868027316935E-05	-0.025938175082	0.001410315052	-3.65809987395559E-05	
