Run Id			Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	Control		Device	Control		Device	Control		Device	Control_S1_P2		Device	Control_S1_P2		Device	Control_S1_P3		Device	Control_S1_P3		Device	Control_B_S1_P3		Device	Control_B_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		
Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV3		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV3		Curve	Illuminated IV4		Curve	Illuminated IV3		Curve	Illuminated IV4		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		
Time	2:49:16 PM		Time	2:49:35 PM		Time	2:49:35 PM		Time	2:50:41 PM		Time	2:50:41 PM		Time	2:51:07 PM		Time	2:51:07 PM		Time	2:53:16 PM		Time	2:53:16 PM		Time	2:56:55 PM		Time	2:56:55 PM		Time	2:57:26 PM		Time	2:57:26 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.0720322664	0.001553573034	-0.000111907386656944	-0.07225113402	0.001556592398	-0.000112465565962411	-0.08149042866	0.001562979	-0.000127367828696578	-0.0732440283	0.001566663562	-0.000114748750271707	-0.08150824512	0.001557026162	-0.000126910470070549	-0.0721360538	0.001511527126	-0.000109035602081295	-0.08241217536	0.00153323566	-0.000126357286080125	-0.0731706533	0.001099463816	-8.0448485696431E-05	-0.08167497234	0.001344448272	-0.000109807775428161	-0.0726135219	0.001542402908	-0.000111999307338682	-0.081136425	0.00155839198	-0.000126442354005872	-0.0725191615	0.001534483094	-0.000111279427312806	-0.08222048944	0.00156931854	-0.000129030138446066	
-0.0628187659	0.001542780386	-9.69155599032456E-05	-0.06335928804	0.001556972788	-9.86486873453339E-05	-0.07277139798	0.001572906062	-0.000114462573022957	-0.06444001488	0.001569580546	-0.000101143793739599	-0.0736690683	0.001559397788	-0.000114879382151041	-0.0635368798	0.001509415562	-9.59035551310434E-05	-0.07341848042	0.001539319988	-0.000113014534399093	-0.06465468274	0.001084352946	-7.01084957018143E-05	-0.07207551234	0.001296769264	-9.34653090895647E-05	-0.06331003184	0.001535678124	-9.72238309264315E-05	-0.07339326052	0.001555129538	-0.000114136027324781	-0.0635613604	0.00153246663	-9.74056637704034E-05	-0.07377332794	0.001558881054	-0.000115003843216195	
-0.05483804052	0.00154236506	-8.45802776569122E-05	-0.05448589786	0.00155088846	-8.45015502238127E-05	-0.06412098236	0.00157056937	-0.000100706450868926	-0.05602741612	0.001562370568	-8.75355859469767E-05	-0.0643048865	0.001560393404	-0.000100340920739569	-0.05527229644	0.001519342624	-8.39775559076555E-05	-0.06468891902	0.001537588816	-9.94649584042817E-05	-0.0554482227	0.001068116426	-5.92251574583761E-05	-0.06327834964	0.001249090256	-7.90403699510851E-05	-0.05492127764	0.00153228565	-8.41550856074379E-05	-0.06426657862	0.001544206858	-9.92408914452002E-05	-0.05493459928	0.001535278812	-8.43399263202944E-05	-0.06517548692	0.00154639217	-0.000100786862649025	
-0.04702619586	0.00154441646	-7.26280309373679E-05	-0.04594329126	0.001544518838	-7.09602788307908E-05	-0.05535673248	0.001569893982	-8.69042011835359E-05	-0.04741321326	0.001565252618	-7.42136561830073E-05	-0.05548032656	0.00156324052	-8.67290945414242E-05	-0.0472672175	0.001528083874	-7.22282728306006E-05	-0.05614948348	0.001534386538	-8.61550115673654E-05	-0.04691747574	0.001053481044	-4.94266713244199E-05	-0.05498059886	0.001207590674	-6.6394058434271E-05	-0.04686521146	0.001533376366	-7.18620076403563E-05	-0.05531087174	0.001537767368	-8.50552536574054E-05	-0.04668809198	0.001532716988	-7.15596317150526E-05	-0.0565019861	0.001541813882	-8.7115546529551E-05	
-0.03820512168	0.001540098238	-5.88396405819436E-05	-0.03752948646	0.001538434508	-5.77366570375828E-05	-0.0466990254	0.001571304924	-7.33784085570211E-05	-0.03937636428	0.001565347716	-6.1637701890082E-05	-0.04755730984	0.001562980456	-7.43311458198565E-05	-0.039122432	0.001525902442	-5.96970145257789E-05	-0.04764474	0.001532690302	-7.30246309393115E-05	-0.0390034647	0.001055342248	-4.11620041162867E-05	-0.04657123354	0.001157444942	-5.39036387035737E-05	-0.03815283908	0.001531965422	-5.84488302216903E-05	-0.04761673084	0.001540329192	-7.33454405404587E-05	-0.03792130514	0.00153102075	-5.80583050364217E-05	-0.04834736894	0.00153406825	-7.41681636618902E-05	
-0.02976772664	0.001536800864	-4.57470680196678E-05	-0.02956696022	0.001540035646	-4.5534172682664E-05	-0.0387345341	0.001578825426	-6.1155067301344E-05	-0.0309247628	0.001558848062	-4.82070065585897E-05	-0.03858111892	0.001554559434	-5.99766423913619E-05	-0.03022652592	0.001530125568	-4.62503801420067E-05	-0.03902704898	0.001534196344	-5.98751558622249E-05	-0.03099350382	0.001060976318	-3.28833735648625E-05	-0.03812711514	0.0011084850222	-4.22633360723849E-05	-0.02910923464	0.00152251385	-4.43192129022998E-05	-0.03892965938	0.00154064942	-5.99769571445946E-05	-0.02925693684	0.001525836942	-4.46413150402327E-05	-0.04012559274	0.001535254064	-6.16029793244939E-05	
-0.021556858464	0.001540583434	-3.32101390387211E-05	-0.021127280816	0.001544458672	-3.26302120720504E-05	-0.02988993234	0.001572680934	-4.7007326709668E-05	-0.022885883782	0.001554104808	-3.55670620209354E-05	-0.02975027934	0.001554784564	-4.62552750925201E-05	-0.021703578536	0.001527563746	-3.31535997300574E-05	-0.03068503214	0.001530033382	-4.69491235019429E-05	-0.02164308339	0.00104579558	-2.26342409468334E-05	-0.02992785422	0.0010677209944	-3.19545982680366E-05	-0.021470075536	0.001522548784	-3.2689237399725E-05	-0.0300217684	0.001535941102	-4.61116680402848E-05	-0.021397467252	0.001529489478	-3.27272010177836E-05	-0.0312843537	0.00153521913	-4.80283382699263E-05	
-0.01293447522	0.001548043772	-2.00231338084093E-05	-0.012263400708	0.00154628494	-1.89627118279657E-05	-0.021533583566	0.00157793461	-3.39785867861186E-05	-0.013475851844	0.001549621618	-2.08824713384276E-05	-0.021696369754	0.00155254297	-3.36845463360933E-05	-0.012874768414	0.00151965315	-1.95651823758556E-05	-0.02191190504	0.001525455096	-3.34256272063361E-05	-0.013733194158	0.001040221676	-1.42855662438682E-05	-0.02181020915	0.0010284630068	-2.24309932813459E-05	-0.012659149798	0.001529273568	-1.93593031794339E-05	-0.02231373962	0.001535846004	-3.42704678296735E-05	-0.012805078536	0.00152119849	-1.94790661332946E-05	-0.022156085576	0.001531956688	-3.39421634780535E-05	
-0.00330197372	0.00154813887	-5.1119138636505E-06	-0.003758589988	0.00154570465	-5.80967002189504E-06	-0.01282996015	0.0015823227	-2.03011371854404E-05	-0.004671900064	0.00154734509	-7.22904162500109E-06	-0.012751568546	0.001547549358	-1.97336817168553E-05	-0.004219342874	0.0015204838	-6.41544248656244E-06	-0.013597729372	0.001524684608	-2.07322486772379E-05	-0.005229589178	0.001032441112	-5.39924286623749E-06	-0.012774404484	0.0009829906594	-1.25571202871695E-05	-0.004085913718	0.0015389755	-6.28812110711591E-06	-0.013804554298	0.00153533558	-2.11946233797613E-05	-0.003788044836	0.001524400768	-5.77449845721683E-06	-0.013223842782	0.00153035555	-2.02371811937611E-05	
0.00495391996	0.001546372764	7.66060690117997E-06	0.004682041092	0.001546119976	7.23899726079405E-06	-0.00409228059	0.00158254783	-6.47622976745562E-06	0.004301058016	0.001551092726	6.67133980272159E-06	-0.003485177186	0.001551937448	-5.40877698786866E-06	0.004844810466	0.001523721012	7.38213950620171E-06	-0.004797140312	0.001525325064	-7.31719835341838E-06	0.004164778342	0.0010097651018	4.20544782648407E-06	-0.003456644244	0.0009489514152	-3.28018744718673E-06	0.004183237142	0.001546981196	6.47138919708278E-06	-0.004813776578	0.001535490842	-7.3915098509531E-06	0.005531428284	0.001521388686	8.415452408698E-06	-0.004306565822	0.00153000039	-6.58904738722067E-06	
