Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	Module_1_s5		Device	Module_1_s5		
Curve	Illuminated IV1		Curve	Illuminated IV2		
Size [cm2]	1		Size [cm2]	1		
Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		
Date	2/11/2020		Date	2/11/2020		
Time	10:54:53 AM		Time	10:54:53 AM		
Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-1.01297855	0.0317625844	-0.0321748166897646	0.0279926647	0.0168107113	0.000470576604789401	
-1.00877406	0.031663168	-0.0319409825358221	0.0389066105	0.0166868311	0.000649228038086987	
-1.0001995866	0.03136987462	-0.0313761356266178	0.04572064408	0.01658624834	0.000758333956975631	
-0.9938465788	0.03115254488	-0.0309608501499015	0.05406873658	0.01648104896	0.000891109494780323	
-0.9866875518	0.03093486052	-0.0305230417917533	0.0622925207	0.01637750912	0.00102019632587204	
-0.9798918988	0.0307170404	-0.0300993790430723	0.0711574405	0.01627048116	0.00115776579504907	
-0.9713307546	0.03054779622	-0.0296720139537396	0.08051004282	0.01615501044	0.00130064058228195	
-0.9632331598	0.0304043661	-0.029286493630219	0.08891644412	0.0160474801	0.00142688486757846	
-0.9546536172	0.03027816692	-0.0289051615723634	0.09823794528	0.01593074508	0.00156500366343867	
-0.946121637	0.03014259868	-0.0285185648065556	0.10704706226	0.01582129568	0.00169362322369083	
-0.9385630846	0.03003302552	-0.0281878890719217	0.11466776076	0.01572086534	0.0018026764257473	
-0.9312258644	0.02992199044	-0.0278641314120575	0.1231775468	0.0156124041	0.00192309763668826	
-0.9225664242	0.02979656978	-0.0274893148353604	0.1313594836	0.01550819286	0.00203714820565881	
-0.9139760774	0.02967034196	-0.0271179827597174	0.1400607922	0.01540145306	0.00215713971661471	
-0.9061270802	0.02955860688	-0.026783854146954	0.1486435076	0.01528563232	0.00227211000392872	
-0.8967446892	0.02942943862	-0.0263906927886224	0.1580290714	0.0151734687	0.00239784916857797	
-0.888328112	0.029305068	-0.0260325157284716	0.1669580346	0.0150677503	0.00251568197593156	
-0.8799705086	0.02917990686	-0.0256774574804948	0.176348668	0.0149581319	0.00263784663633331	
-0.8714607242	0.02905902898	-0.0253238024394596	0.1842185906	0.01485954672	0.00273740475371325	
-0.862751177	0.02893696068	-0.0249653968854727	0.1922565676	0.01476985684	0.00283960198000178	
-0.854914863	0.0288310899	-0.0246481272719992	0.2009838694	0.01466163848	0.00294675283345433	
-0.8457652152	0.02871722148	-0.0242880270049783	0.2092602858	0.01456427234	0.00304772379233744	
-0.8377063354	0.02860877686	-0.0239657536236669	0.2172170932	0.01446420862	0.00314187335187478	
-0.8292935748	0.02849482994	-0.0236305793842607	0.2264333498	0.01437063536	0.00325399110331913	
-0.8204223148	0.02837698302	-0.0232811100963087	0.2350598114	0.01426484308	0.0033530913240354	
-0.811854183	0.02826029326	-0.0229432372959377	0.2434630614	0.01416593652	0.00344888227275726	
-0.804081912	0.02813482736	-0.0226227057774187	0.2514743996	0.01407068708	0.00353841758540248	
-0.7957268526	0.02801646144	-0.0222934506826405	0.2608885012	0.01396146394	0.00364238540186445	
-0.7873026806	0.02789060028	-0.0219583443639871	0.2694445778	0.0138456432	0.00373063348639344	
-0.779175276	0.0277702534	-0.0216378948575349	0.277863682	0.01374073194	0.0038180503702234	
-0.7709610058	0.02764439222	-0.0213127484306609	0.2857221936	0.01364271104	0.00389802532499974	
-0.7618576482	0.02752354296	-0.0209690217096373	0.2944437996	0.01353335214	0.00398481162542639	
-0.7537124906	0.02740813412	-0.020657853030284	0.3028578344	0.01342510514	0.00406589826929271	
-0.745425291	0.02729013482	-0.0203427566896277	0.3115762504	0.0133266391	0.00415226424121203	
-0.7369992202	0.02717437598	-0.0200274939066816	0.3205623082	0.01322314452	0.00423884172899338	
-0.728511005	0.02706312666	-0.0197157856015189	0.3299770364	0.01311235232	0.00432677515878626	
-0.7203747334	0.02695705824	-0.0194191836428883	0.3391812364	0.01300521724	0.0044111256631138	
-0.7113740956	0.02683169946	-0.0190873759367685	0.3481501484	0.0129071631	0.004493630748688	
-0.702931525	0.02671906208	-0.0187816710544641	0.3564100844	0.0128042494	0.00456356360933265	
-0.6945631558	0.02661651502	-0.0184868506686893	0.3652071448	0.01270272376	0.00463912547557272	
-0.6853703688	0.02649927762	-0.018161819675353	0.3737987466	0.01260776246	0.00471276580497853	
-0.6766925298	0.02638996398	-0.0178578914869571	0.382085948	0.0125061417	0.00477842100726683	
-0.667981103	0.0262830884	-0.0175566063796785	0.3908551168	0.01239859472	0.00484605418744146	
-0.6598372368	0.02618733658	-0.0172793798080988	0.3991042682	0.0122978596	0.00490812825608434	
-0.6515018482	0.02607424208	-0.0169874169055342	0.4082862724	0.0121877388	0.00497608644363685	
-0.643337039	0.02596623798	-0.0167050426560225	0.4171575344	0.01208234178	0.00504023990672291	
-0.6349471196	0.02586221238	-0.0164211372571645	0.4259609366	0.01198399948	0.00510471564271471	
-0.6262578498	0.02575882494	-0.016131666320299	0.434504976	0.01188681436	0.00516487998820826	
-0.6178602972	0.02565402082	-0.0158506009282202	0.4435779188	0.01178901972	0.00522934883208976	
-0.6089655688	0.02555221904	-0.0155604216017958	0.4517915452	0.01169861318	0.00528533452528929	
-0.600491916	0.02545189582	-0.0152836576867842	0.460763002	0.01160371374	0.00534656197719105	
