Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.0141336951	0.00067744297	-9.57477238561845E-06	-0.0112110069	0.0014175337	-1.58919800916825E-05	-0.10855567	0.00148568717	-0.000161279766149754	-0.112749681	1.25543853E-05	-1.41550293772609E-06	-0.108990166	0.00149649728	-0.000163103486965748	-0.118399554	2.49001374E-05	-2.94816516269872E-06	-0.117322747	0.000272955383	-3.20238753419971E-05	-0.111971356	0.000286281227	-3.20552971845338E-05	-0.110185929	0.000235529972	-2.5952088772164E-05	-0.114935872	2.01161281E-05	-2.3120647244372E-06	-0.115964081	-1.06208887E-05	1.23164159749878E-06	-0.11618457	2.46566851E-05	-2.86472635596891E-06	-0.11316242	0.00104687189	-0.000118466556502374	-0.111097906	0.00143648653	-0.000159590645480206	-0.113789287	0.00142566386	-0.000162225274131068	-0.110700419	0.00158385155	-0.000175333030218799	-0.11138239	0.00164915133	-0.000183686416607079	-0.111747325	0.000537320413	-6.00441188206452E-05	-0.113470468	0.000240241203	-2.7260281737293E-05	-0.109926889	0.000400437585	-4.40188579577231E-05	-0.112065156	0.000643250314	-7.2085946785459E-05	-0.113695029	0.000536818238	-6.10335651371389E-05	-0.112882803	0.000975282874	-0.000110092664535016	-0.108480881	0.00122236531	-0.000132603265732638	-0.112815772	0.000820566753	-9.25728717172283E-05	-0.113806008	0.00106574237	-0.000121287884686159	-0.113063873	0.00107451953	-0.00012148933967594	-0.111331358	0.000304704029	-3.39231133366414E-05	-0.115533898	0.000203885643	-2.35557030820264E-05	-0.109813307	0.00195582524	-0.000214775637518469	-0.114755308	0.0020572016	-0.000236074803226093	-0.113855595	-2.21636453E-05	2.52345502300045E-06	-0.112019521	-8.95424854E-06	1.00305063236575E-06	
-0.00738626848	0.000672788456	-4.96939616626067E-06	-0.00412114912	0.00141234355	-5.82047837822017E-06	-0.102730919	0.00154107687	-0.000158316243104744	-0.104943156	6.62531909E-06	-6.95281894811648E-07	-0.104002458	0.00149839924	-0.000155837204025332	-0.117619567	2.00870165E-06	-2.36262618305186E-07	-0.117433726	0.000259670782	-3.04941074635937E-05	-0.103331017	0.000279226511	-2.88527593549917E-05	-0.105369485	0.000278285235	-2.9322771895054E-05	-0.112507049	4.07562654E-05	-4.5853671484148E-06	-0.112136958	1.29207065E-05	-1.44888872212083E-06	-0.113581351	2.51092072E-05	-2.85193767631493E-06	-0.111833897	0.00104435993	-0.000116794840842547	-0.106744462	0.00144455805	-0.000154198571875019	-0.10666136	0.00141285475	-0.00015069700911746	-0.104067104	0.00156256125	-0.00016261122411012	-0.103965859	0.00165603138	-0.000172170724952655	-0.108563862	0.000579600187	-6.29236347166422E-05	-0.115242909	0.000242618651	-2.79600791188958E-05	-0.10656903	0.000415148656	-4.42419895757237E-05	-0.10686185	0.0006184084	-6.608426567954E-05	-0.102809756	0.000524960105	-5.39710203047844E-05	-0.105558265	0.000995923011	-0.000105127905114736	-0.105500294	0.00122699405	-0.000129448233011251	-0.10713048	0.00084233254	-9.02394893298192E-05	-0.107496138	0.00106591704	-0.000114581965228392	-0.103155006	0.00105483037	-0.000108811033146332	-0.113573159	0.000320715419	-3.64246632758386E-05	-0.109718736	0.000190125552	-2.08603352467423E-05	-0.108795411	0.0019201247	-0.000208900755907752	-0.109057294	0.00192318142	-0.000209736961536277	-0.114892382	2.5230069E-07	-2.89874272543436E-08	-0.109708135	1.13850687E-05	-1.24903465392387E-06	
-0.0039085054248	0.0006709192626	-2.62229157747492E-06	-0.00077399758	0.001409864838	-1.09123197273909E-06	-0.0950899426	0.001511971078	-0.00014377324301988	-0.09724702282	1.1393802128E-05	-1.10801333554818E-06	-0.0954527431	0.001497803422	-0.000142969445254467	-0.1153689372	2.198897568E-06	-2.53684475431825E-07	-0.1160493618	0.0002581899706	-2.99627813112908E-05	-0.09856781156	0.0002867819466	-2.82674688712788E-05	-0.09835378986	0.0002686085334	-2.64186672486264E-05	-0.1077381482	2.0566387816E-05	-2.21578453845888E-06	-0.10849055246	9.768888652E-06	-1.0598321267757E-06	-0.1079537796	2.36020314E-05	-2.54792849586788E-06	-0.110859197	0.001042350362	-0.000115554124123979	-0.10230914458	0.001447243628	-0.000148066257579536	-0.1044944251	0.001417077878	-0.000148076738183538	-0.09690872152	0.001560449686	-0.000151221184066545	-0.09697553082	0.001643352298	-0.000159364961422817	-0.10073388862	0.0005446953566	-5.48692813835756E-05	-0.1101855	0.0002295941136	-2.52979422040728E-05	-0.09887604798	0.0004098095852	-4.05203522088991E-05	-0.10382739728	0.0006268391242	-6.50830747789607E-05	-0.09913917912	0.0005256354948	-5.2111071470807E-05	-0.0993485701	0.0009746676482	-9.68318371713998E-05	-0.09960323956	0.001217231956	-0.000121240246113555	-0.10222151274	0.000822808348	-8.41087140276604E-05	-0.10107589576	0.00106360558	-0.000107504886733834	-0.09752056288	0.001062040348	-0.000103570772538231	-0.1096755926	0.0003178935326	-3.48651615716124E-05	-0.1094193668	0.0001984165408	-2.17106122569824E-05	-0.107045812	0.001904693598	-0.000203889472809112	-0.1073932885	0.001919988844	-0.000206193915840474	-0.1097994674	3.489512622E-06	-3.83146627381177E-07	-0.10415030234	7.982890888E-06	-8.31420499532431E-07	
0.0013867354352	0.0006672621448	9.25316060761714E-07	0.00373360338	0.001407348262	5.25448022784033E-06	-0.0876835891	0.001509504354	-0.000132358759520797	-0.0898914027	9.757729192E-06	-8.77135964235618E-07	-0.08856765992	0.001497958684	-0.000132670695298723	-0.1143752122	1.048018248E-06	-1.19867309504472E-07	-0.1152052926	0.0002531012598	-2.91586046926876E-05	-0.09182733392	0.000281338074	-2.58345252656077E-05	-0.09210162114	0.0002720359414	-2.5054951211286E-05	-0.1037847982	1.9285476616E-05	-2.00153929878238E-06	-0.1045866637	1.3576688306E-05	-1.41994053401934E-06	-0.10437012612	2.36020314E-05	-2.4633469939062E-06	-0.1097652774	0.001040583678	-0.000114219956073582	-0.09858981004	0.001452165038	-0.000143168675243149	-0.10084230458	0.001419189442	-0.000143114333966884	-0.09055126944	0.00155647692	-0.000140940960960061	-0.09060476894	0.00164060028	-0.000148646209292299	-0.09533402956	0.0005496288056	-5.23983288000979E-05	-0.1083946418	0.0002363790612	-2.56222236677943E-05	-0.0929035394	0.0004140676446	-3.84683497343613E-05	-0.10023994646	0.0006220958712	-6.23588568220751E-05	-0.09206703574	0.0005191009068	-4.7792081739022E-05	-0.09213880854	0.0009702795568	-8.94004023142713E-05	-0.09456102002	0.001213769614	-0.000114775292769122	-0.09677154672	0.0008204367216	-7.9394930535118E-05	-0.09439629056	0.001063640514	-0.000100403719010932	-0.09121257212	0.001061910316	-9.6859571283122E-05	-0.107450956	0.000309057186	-3.32084900943698E-05	-0.1066081446	0.000193518026	-2.06305976985146E-05	-0.10436267636	0.001858010208	-0.00019390691801108	-0.10420344528	0.001855112634	-0.000193309127845256	-0.1075183824	8.64809136E-06	-9.29828793874616E-07	-0.09992173516	1.5633424136E-05	-1.56211886616134E-06	
0.0058854696312	0.0006649478172	3.91353018446333E-06	0.008102333244	0.001405079188	1.13844198153849E-05	-0.08004388502	0.001494903908	-0.000119657916527901	-0.08285349282	4.183824714E-06	-3.46644490901538E-07	-0.0815582876	0.001497543358	-0.000122137071885234	-0.1135374846	3.574906698E-06	-4.05885914170612E-07	-0.114526107	0.0002505394374	-2.86933064153922E-05	-0.08542738872	0.0002753837778	-2.35253170333027E-05	-0.08596295676	0.0002733770166	-2.35002966571636E-05	-0.10024808084	1.7399043756E-05	-1.74422074499019E-06	-0.1006713829	1.126522583E-05	-1.1340858629869E-06	-0.10061587386	2.354015592E-05	-2.36851335869145E-06	-0.1085736882	0.00103860274	-0.000112764930056426	-0.094347268	0.001455167384	-0.000137291067163107	-0.09739691494	0.001423032176	-0.000138598943802755	-0.0841437297	0.001556892246	-0.00013100272031945	-0.08373047034	0.001629747468	-0.000136459522031064	-0.08908755688	0.0005407575252	-4.8174766784543E-05	-0.105969616	0.0002275776488	-2.41163160535189E-05	-0.08657082752	0.0004114107242	-3.56161668445965E-05	-0.0963246465	0.0006161415748	-5.93496193865633E-05	-0.08629744154	0.0005144275218	-4.43937789891026E-05	-0.08615297092	0.0009636848048	-8.30243089639803E-05	-0.0891554263	0.001209381524	-0.000107822925331564	-0.09139642782	0.0008146124572	-7.44526686457526E-05	-0.08873832144	0.001060983594	-9.41499032069384E-05	-0.0856078808	0.001062836066	-9.09871432480689E-05	-0.10414633618	0.0002975289852	-3.09865537159334E-05	-0.10462956134	0.0001958547186	-2.04921932934871E-05	-0.10171506552	0.00181632043	-0.000184747151542765	-0.10185262102	0.001822389234	-0.00018561512000153	-0.10403938572	1.0059034452E-05	-1.0465357653224E-06	-0.09517757432	1.3616959378E-05	-1.29602916321202E-06	
0.0100918603092	0.0006633335138	6.69426915968039E-06	0.013401352144	0.001401664954	1.87842056364576E-05	-0.0728677304	0.001492212054	-0.000108734105650502	-0.07517064994	-1.130015974E-06	8.49440352081621E-08	-0.07465864158	0.001504077946	-0.000112292416278797	-0.1132863426	4.025166392E-06	-4.55996378906118E-07	-0.1138336114	0.0002483327768	-2.82686168121341E-05	-0.07887144618	0.000271766174	-2.14345911661855E-05	-0.08058464774	0.0002756186112	-2.221062869414E-05	-0.09667268682	1.4872155296E-05	-1.43773121126861E-06	-0.0973604406	5.466191502E-06	-5.32190813038696E-07	-0.09788644782	2.33425238E-05	-2.28491673793581E-06	-0.1066280854	0.001034686114	-0.000110326599325786	-0.09067676812	0.001458383986	-0.000132241546528443	-0.09458759146	0.001433729724	-0.000135613041397771	-0.07771716494	0.001550322724	-0.000120486686851338	-0.07775414522	0.00162433853	-0.000126299053948061	-0.08374477282	0.0005390263542	-4.51406395764719E-05	-0.1046600794	0.0002301045372	-2.40827591336523E-05	-0.08008526976	0.000407212829	-3.26117492601978E-05	-0.09149426598	0.0006052887636	-5.53804511315237E-05	-0.07977447948	0.0005043102642	-4.02310888229763E-05	-0.07944735318	0.0009582409322	-7.61297057720258E-05	-0.0845431685	0.001209251492	-0.000102233952647032	-0.085330047	0.0008146124572	-6.95109192596615E-05	-0.08343928336	0.001064861262	-8.88512605791052E-05	-0.08048004866	0.00106577828	-8.57738878351711E-05	-0.10142389752	0.0002863559462	-2.90433361416314E-05	-0.1021404924	0.0001970405318	-2.01258169408099E-05	-0.09901290482	0.001769662268	-0.000175219401705029	-0.09912129626	0.001774615128	-0.000175902151849966	-0.10073731036	-9.23808688E-07	9.30620025163204E-08	-0.09082152794	1.3772221338E-05	-1.25081418504503E-06	
0.0156578753	0.000658502609	1.03107517364467E-05	0.017889301654	0.0013999269	2.50437146076491E-05	-0.06524260832	0.00148676818	-9.70006340303793E-05	-0.06841050148	-6.478790606E-06	4.43217314340373E-07	-0.06826313946	0.001507375322	-0.000102898171824248	-0.1132806274	1.6514050552E-05	-1.87072200744588E-06	-0.1129533906	0.0002524355742	-2.85134540139479E-05	-0.07261356226	0.000273177117	-1.98363635932868E-05	-0.0749336467	0.0002766394586	-2.07296034540117E-05	-0.09333193486	1.6568392244E-05	-1.54636010565194E-06	-0.09330372504	-4.53170856E-07	4.22825289443654E-08	-0.09492936712	2.398067238E-05	-2.27647005214546E-06	-0.1048232718	0.001031198	-0.000108093548233616	-0.08715717706	0.001461126824	-0.000127347689306483	-0.09056005914	0.001432223684	-0.000129702261524749	-0.07203128468	0.001547725968	-0.000111484689807637	-0.07145249604	0.00162251226	-0.000115932550832501	-0.07841275418	0.0005485982542	-4.30171000501618E-05	-0.10289139782	0.0002305198628	-2.37185109087666E-05	-0.07391996658	0.0004116009202	-3.04255262654813E-05	-0.08763349662	0.0006066647728	-5.31641553166419E-05	-0.0739440129	0.0005028042232	-3.71793619664753E-05	-0.07335370706	0.000956829989	-7.0187026719329E-05	-0.07920925122	0.001214375136	-9.61897452227457E-05	-0.07883307808	0.0008106396916	-6.39052221026499E-05	-0.07751433738	0.001061018528	-8.2244148145823E-05	-0.0749355839	0.001064947628	-7.98024723271E-05	-0.09817003038	0.000278705413	-2.73605188612804E-05	-0.09880862658	0.000193518026	-1.91212503675327E-05	-0.09588205452	0.00172047722	-0.000164962890608458	-0.09592575706	0.00171335652	-0.000164355021294687	-0.09803387744	-3.805858882E-06	3.73103103191923E-07	-0.08604884888	1.4092449138E-05	-1.21263902622485E-06	
0.02089095236	0.0006542978472	1.36689051551058E-05	0.02223391774	0.001398814988	3.11011373766711E-05	-0.05792122164	0.001477836736	-8.55981091335902E-05	-0.0613123456	-9.230808904E-06	5.65962545689605E-07	-0.06140913808	0.001504173044	-9.23699701552099E-05	-0.113177262	1.3952228158E-05	-1.57907498172174E-06	-0.1121587824	0.0002523404762	-2.83022005608282E-05	-0.06564920802	0.0002597624834	-1.70532013085184E-05	-0.0688216213	0.0002766394586	-1.90387760564062E-05	-0.08991065908	1.5893002704E-05	-1.42895034787686E-06	-0.09016843178	4.030018332E-06	-3.63380433041091E-07	-0.0908878794	2.404254786E-05	-2.18517619036841E-06	-0.1031928542	0.001028302782	-0.00010611349905638	-0.08330083148	0.001462955384	-0.000121865399905343	-0.08720153506	0.001443301624	-0.000125858117167391	-0.06532376828	0.001551343572	-0.000101339608019996	-0.06515720778	0.001624018302	-0.000105816497941937	-0.07313274112	0.0005519907282	-4.03685950260909E-05	-0.10076948102	0.0002305547966	-2.32328872000537E-05	-0.06830449046	0.0004082084462	-2.78824699191593E-05	-0.08443163504	0.0006063096112	-5.11917118140827E-05	-0.06729169222	0.00049515369	-3.33197297090773E-05	-0.06725690938	0.000952216768	-6.40431568754925E-05	-0.07361786962	0.001204483008	-8.86714730424494E-05	-0.07284406962	0.0008077576414	-5.88403538662286E-05	-0.0718189446	0.00104846948	-7.52999714989108E-05	-0.06879374876	0.001063406652	-7.31557300474007E-05	-0.09511590678	0.000278705413	-2.65093180819894E-05	-0.09594729746	0.0001829505086	-1.75536068691025E-05	-0.09292180298	0.001660819752	-0.000154326365780636	-0.09370176636	0.00167351824	-0.000156811615123678	-0.09518775678	-5.026606066E-06	4.78471355639281E-07	-0.08054053552	1.2110918332E-05	-9.75419848098265E-07	
0.02535923112	0.0006507478572	1.65024653115796E-05	0.02727993466	0.00139637691	3.80930708655327E-05	-0.05176226012	0.001482129728	-7.67183845123208E-05	-0.05390092252	-1.2908576668E-05	6.95784190825348E-07	-0.05458052266	0.001504753336	-8.21302235532586E-05	-0.1128513116	1.1580601678E-05	-1.30688608847946E-06	-0.1117110678	0.0002497786538	-2.79030401296445E-05	-0.05916936544	0.0002580313124	-1.52675490183584E-05	-0.06296134496	0.0002792963788	-1.75848756517056E-05	-0.08676522684	1.8134597304E-05	-1.57345244873361E-06	-0.0866691572	4.990701738E-06	-4.32539913469035E-07	-0.08692374462	2.36592893E-05	-2.0565540210039E-06	-0.1017767812	0.001026017084	-0.00010442471626573	-0.07899424626	0.001464083918	-0.000115654205563798	-0.08334013928	0.001451497514	-0.000120968004981334	-0.05852367112	0.001548141294	-9.06029119373472E-05	-0.058568911	0.001626805254	-9.52802121358584E-05	-0.06758700416	0.0005512202406	-3.72553246945084E-05	-0.09805461776	0.000212526942	-2.08392480615117E-05	-0.0623706584	0.0004055515258	-2.52945156792706E-05	-0.0801142651	0.0006055740576	-4.85151205882491E-05	-0.06185376372	0.0004917612162	-3.04172820734946E-05	-0.0614137594	0.000946192604	-5.81092449281155E-05	-0.0679966783	0.001204933268	-8.19314597971637E-05	-0.06728502286	0.000809869204	-5.449206790475E-05	-0.06627068252	0.001043310902	-6.91409255560968E-05	-0.06262844556	0.001059408656	-6.63491173380888E-05	-0.09257927544	0.0002858455226	-2.64633713700761E-05	-0.09324578258	0.0001799733604	-1.67817568340504E-05	-0.09093877664	0.001630813438	-0.000148304178979793	-0.09125963358	0.001641625492	-0.000149814140875507	-0.09231311784	-4.931508114E-06	4.55242889656598E-07	-0.07613123058	8.077988828E-06	-6.14987230087132E-07	
