Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			
0.109048044	0.0005982506706	6.52380654506183E-05	0.1120994642	0.001343682088	0.000150626042119937	0.07367327846	0.00141575718	0.000104303472953884	0.07236408392	4.443888498E-06	3.21577920200395E-07	0.07198195464	0.001431421172	0.00010303649387364	-0.09980282402	9.944528764E-06	-9.9249205419532E-07	-0.1003608572	0.0002488781344	-2.49776229067208E-05	0.05308390238	0.0002558246516	1.35801708319319E-05	0.04927667578	0.0002413193028	1.18914130435312E-05	-0.02687519972	1.9865768198E-05	-5.33896487912474E-07	-0.02514039502	7.657325971E-06	-1.92508199707845E-07	-0.02646421968	2.11187007E-05	-5.5888993468097E-07	-0.0747260677	0.000974636427	-7.28307476268881E-05	-0.01723724148	0.001477719612	-2.54718097917759E-05	-0.01837299404	0.00147666548	-2.71307660631137E-05	0.05653954672	0.001449971094	8.19807084118625E-05	0.05835114548	0.001577490172	9.20483585196422E-05	0.0319304161	0.0005087949092	1.62460331603177E-05	-0.056305386	0.0002155390242	-1.21360079556443E-05	0.04825980552	0.0003914615026	1.8891855984043E-05	-0.00743703079	0.000547327532	-4.07049170769871E-06	0.04686781744	0.0004607243496	2.15931447072155E-05	0.04728439224	0.0008974675186	4.24362061721419E-05	0.02376557682	0.001150329576	2.7338245906746E-05	0.02833805952	0.0007745141144	2.19482270729473E-05	0.03319093486	0.0009855747996	3.27121489731812E-05	0.04442470638	0.0010153220226	4.51053827351527E-05	-0.04345661266	0.0002340637172	-1.01716162961202E-05	-0.04286750672	0.0001139967298	-4.88675558075952E-06	-0.04282256084	0.000786071912	-3.36616122762351E-05	-0.04249719336	0.0007680382348	-3.26394693721687E-05	-0.04370287784	-5.381767802E-06	2.35198740814051E-07	0.0052308314348	4.6952188E-06	2.45598980923039E-08	
0.1138296092	0.0005951744434	6.77484742980495E-05	0.1170731784	0.001340346354	0.000156918607819632	0.08076889014	0.001416137572	0.000114379859975994	0.0800158451	4.1236606986E-06	3.29958195704135E-07	0.07830959718	0.001429785098	0.000111965895078347	-0.09934939422	1.0229822604E-05	-1.01632667868546E-06	-0.09946415602	0.000254322007	-2.52959237835675E-05	0.0586816258	0.0002561099456	1.50289479913576E-05	0.05476341988	0.0002397530978	1.31296995623521E-05	-0.02350272006	1.483722136E-05	-3.48715060092333E-07	-0.0220666198	7.977553751E-06	-1.76037645557381E-07	-0.02373352138	2.098294406E-05	-4.97999151463354E-07	-0.07355475648	0.0009725483606	-7.15355578289562E-05	-0.013693555854	0.001476302942	-2.02158367937015E-05	-0.015379761966	0.001483865752	-2.28215020552596E-05	0.06291666972	0.001451026876	9.12937787121354E-05	0.0646267824	0.001571500942	0.000101561049420029	0.03687749134	0.0005048920116	1.86191507854142E-05	-0.05364062958	0.0002139378852	-1.14757628531418E-05	0.0542456433	0.0003872985414	2.10092585273947E-05	-0.00397578694	0.0005494390946	-2.18445277663611E-06	0.0535055563	0.0004540694338	2.4295237654295E-05	0.054202437	0.0008899722474	4.82386646714469E-05	0.02945208366	0.00114770759	3.3802379957897E-05	0.0343118404	0.0007660581596	2.62848653093129E-05	0.0387772471	0.0009801309276	3.80067791698974E-05	0.05016384528	0.0010121799086	5.07748363305349E-05	-0.04040376114	0.0002273389334	-9.18534796291597E-06	-0.040107018	0.0001053156453	-4.22389648172872E-06	-0.03970439392	0.0007268297692	-2.88583354690995E-05	-0.03951282808	0.000721640138	-2.85140427084215E-05	-0.04118971442	1.57202748E-07	-6.47513629615921E-09	0.0102267606768	4.565186906E-06	4.66870739325231E-08	
0.1177334982	0.0005938648996	6.99177920880998E-05	0.1214495028	0.001336948744	0.000162371760227884	0.088705381	0.00141091883	0.000125156092375224	0.08717422784	-9.94647034E-08	-8.67075871622962E-09	0.08552315638	0.001426037462	0.000121959224866364	-0.0987025433	9.909594804E-06	-9.78102210227265E-07	-0.09879767304	0.0002507044032	-2.47690116570419E-05	0.06569669434	0.000256905663	1.68778528163261E-05	0.06115195404	0.0002368710476	1.44851274162419E-05	-0.01961468534	1.595316672E-05	-3.1291634538936E-07	-0.01908544462	8.07265170348E-06	-1.54070147023316E-07	-0.01963051544	2.041867664E-05	-4.00829147045887E-07	-0.0715114842	0.0009679317112	-6.92182332721578E-05	-0.0097205349712	0.001474017242	-1.43282361490128E-05	-0.011886809742	0.001488444038	-1.76928510913202E-05	0.06896465208	0.00145419422	0.000100287998439047	0.07074389674	0.001567978436	0.000110924904566931	0.04157219104	0.0005115818614	2.12675788747196E-05	-0.05148702372	0.0002074032972	-1.06785784825426E-05	0.05979707634	0.0003888996804	2.32550638774804E-05	0.000380259564	0.0005485133452	2.08577445493933E-07	0.05957575378	0.0004535240762	2.70190386969932E-05	0.05991939934	0.000882607008	5.28852817726346E-05	0.0352749365	0.001139701896	4.02029120103296E-05	0.04068957056	0.0007612896766	3.09765500126153E-05	0.04522158412	0.0009737263724	4.4033449059349E-05	0.0561420692	0.0010099984786	5.67034044774559E-05	-0.03824126924	0.000234253913	-8.95816695755654E-06	-0.03795213994	0.0001069517183	-4.05904657974506E-06	-0.03722356534	0.0006865761644	-2.555681271643E-05	-0.03721399016	0.0006783492212	-2.52440812427805E-05	-0.03791427782	5.18574958E-06	-1.96613950281068E-07	0.014921441066	1.1575264546E-05	1.72719627746498E-07	
0.1231644394	0.0005889887426	7.25424682952399E-05	0.125924769	0.001334386914	0.000168032363902073	0.09654613946	0.001410148342	0.00013614437848602	0.09343845374	1.4065763446E-06	1.31428318706685E-07	0.09200235344	0.001420628524	0.000130701167571994	-0.09827829682	5.296373713E-06	-5.20518587835859E-07	-0.09804683036	0.0002533962576	-2.48446998827661E-05	0.07172565168	0.000257060925	1.84378623670886E-05	0.06693675688	0.0002374164054	1.58918842075833E-05	-0.01688144266	1.992593222E-05	-3.36378482218977E-07	-0.0162894502	8.07265170348E-06	-1.31499057905783E-07	-0.01643180538	1.9459145E-05	-3.197488835012E-07	-0.06921076692	0.0009622650258	-6.65991004159116E-05	-0.00621427293809	0.001472419562	-9.15001703765093E-06	-0.00815669044	0.001488088876	-1.21378803087395E-05	0.07553137962	0.001454964706	0.000109895491542588	0.07686353618	0.001564551028	0.000120256924546134	0.04738870224	0.0005001836924	2.37030560644473E-05	-0.0494526375	0.0002153488282	-1.06495675370244E-05	0.06524387176	0.0003920417944	2.55783245583939E-05	0.003983564644	0.0005497942564	2.19014096126931E-06	0.06648238738	0.0004367421988	2.90356640458146E-05	0.06669285778	0.0008719094588	5.81501335327852E-05	0.04087962804	0.001140057058	4.66051084754167E-05	0.04584973766	0.0007602940592	3.48592831587765E-05	0.04991880892	0.0009752324134	4.8682440497105E-05	0.06190215106	0.0010047797346	6.21980269132359E-05	-0.03569320734	0.0002306013752	-8.23090269790273E-06	-0.0356158977	0.0001064412945	-3.79100225596757E-06	-0.03478141326	0.0006437956712	-2.23921232950063E-05	-0.03496778428	0.0006432192612	-2.24919523703826E-05	-0.0353021727	2.018405524E-06	-7.1254100386882E-08	0.01998646372	1.4967738452E-05	2.99152161541347E-07	
0.1283842066	0.000584553102	7.50473862158389E-05	0.1296339648	0.001333748766	0.000172899140583687	0.10357643584	0.001409507886	0.000145991803120253	0.10052012924	2.0819658846E-06	2.09279479793263E-07	0.09887031052	0.001416370464	0.000140036987587036	-0.09767014176	6.291991053E-06	-6.14539658099162E-07	-0.09729598768	0.0002538115834	-2.46948486915277E-05	0.07832154324	0.0002579265104	2.02012023370359E-05	0.07307733926	0.0002376415352	1.73662110900776E-05	-0.013607923962	2.194239698E-05	-2.98590469647858E-07	-0.013345052868	1.018421440148E-05	-1.35908879606798E-07	-0.013573020676	1.930676508E-05	-2.62051121617515E-07	-0.06760127294	0.000958286525	-6.47813889312491E-05	-0.00298385450009	0.001471110018	-4.38957824733678E-06	-0.0053670184078	0.00149183651	-8.00671401059811E-06	0.08193574872	0.001448630018	0.000118694585143097	0.08324698162	0.00156064813	0.000129919246193397	0.05309358838	0.0004984175876	2.6462778237387E-05	-0.0468754116	0.0002094896298	-9.81991262280662E-06	0.07144657942	0.0003876537032	2.76965310931359E-05	0.00887229259	0.0005452761332	4.83784939609421E-06	0.07227862066	0.0004321289778	3.12336864625998E-05	0.07306806288	0.0008769981696	6.40805574019777E-05	0.04664730448	0.001139451536	5.31523427399957E-05	0.05193449788	0.0007520632344	3.90580264525727E-05	0.05545565996	0.0009739515022	5.40111233235344E-05	0.06722845464	0.00100807711	6.77714662632573E-05	-0.0324748458	0.0002270788694	-7.37435126820334E-06	-0.03283636464	0.0001042346337	-3.42268644029003E-06	-0.0323487737	0.0006076448638	-1.96565661890335E-05	-0.0318597756	0.000579909255	-1.84757787326632E-05	-0.03291646924	1.6809048304E-05	-5.5329452145229E-07	0.02449850774	1.6213715708E-05	3.97211839766598E-07	
0.1329603132	0.0005805912244	7.71955910373955E-05	0.134395233	0.001329284498	0.000178649499831998	0.11062258628	0.00140713626	0.000155661052329567	0.1073874406	4.7388862306E-06	5.08896863598715E-07	0.1064656232	0.00140788928	0.000149891809591799	-0.09712413126	7.192510439E-06	-6.98566327966356E-07	-0.096545145	0.0002550924946	-2.46279418795687E-05	0.0852509992	0.0002505263372	2.13576205722161E-05	0.07966880706	0.0002344392572	1.86774959491565E-05	-0.009336237179	1.861008708E-05	-1.73748186900724E-07	-0.009688470012	1.156022354948E-05	-1.12000879191153E-07	-0.0099722599678	1.909250968E-05	-1.90395469966698E-07	-0.06588332474	0.0009540817632	-6.28580786334174E-05	0.00116861265991	0.00146836718	1.71595247594435E-06	-0.0015297170798	0.001492416802	-2.28297547219989E-06	0.08887029342	0.001443956634	0.000128324849749336	0.08930193212	0.001557766078	0.000139111520556395	0.05788591904	0.0005064232826	2.93147771365546E-05	-0.04433369138	0.0002023495202	-8.97090117943788E-06	0.07708299864	0.0003948287468	3.04345837526173E-05	0.012626525694	0.0005450859372	6.88254159149387E-06	0.07836909612	0.0004282260802	3.35596908402846E-05	0.0791471079	0.0008703083198	6.88823864934783E-05	0.05306374972	0.00113720994	6.03446236352562E-05	0.05702615946	0.000746204036	4.25531503466316E-05	0.06020614328	0.0009811265448	5.90698453320401E-05	0.07299548538	0.001009513284	7.36899121631378E-05	-0.02933133144	0.0002217650288	-6.50466356153395E-06	-0.0302306012	0.0001024432989	-3.0969225146583E-06	-0.02956227252	0.0005557077964	-1.64279853186655E-05	-0.02889508108	0.0005207020462	-1.50457278434709E-05	-0.0301198291	2.6000556544E-05	-7.83132319610167E-07	0.0290695255	1.1375364788E-05	3.30676456776568E-07	
0.1376505508	0.0005768103558	7.9398263183014E-05	0.1384151708	0.001326998798	0.000183676765276565	0.117356096	0.00139733923	0.000163986276820446	0.11426301162	3.492908976E-06	3.9911029891229E-07	0.1137127894	0.001400939368	0.000159304723315553	-0.09660223454	5.721403339E-06	-5.52700347252017E-07	-0.09638722958	0.0002553525584	-2.46127256703412E-05	0.0919058644	0.0002481896446	2.28100838220918E-05	0.08622474992	0.0002390175442	2.06092279751375E-05	-0.005838215471	2.674581396E-05	-1.5614782484576E-07	-0.005762404518	5.42446489480001E-07	-3.12579610175279E-09	-0.0058318304238	1.89235065E-05	-1.10358680931677E-07	-0.06421043328	0.0009505483964	-6.10351243864532E-05	0.00468630513391	0.001466188608	6.87100720095076E-06	0.0024077788662	0.001480863372	3.56559153083127E-06	0.09526769442	0.001436746656	0.000136875541382765	0.09505312798	0.001560873258	0.000148365885553234	0.06410512662	0.0004999837926	3.20515243325708E-05	-0.04239697466	0.0002004281534	-8.49754734085039E-06	0.08323372	0.0003916614026	3.25994355188157E-05	0.016859536004	0.0005380409256	9.07112035677869E-06	0.08370113422	0.000431523456	3.61190027097343E-05	0.08453747398	0.0008708536774	7.36197700935898E-05	0.05807109016	0.001131540938	6.5709815830329E-05	0.06181978158	0.0007514227788	4.64527920596527E-05	0.06654394404	0.0009777340708	6.50622812933166E-05	0.07991035934	0.00100544542	8.03455048089572E-05	-0.0270889614	0.0002211245732	-5.99003502800628E-06	-0.02808396346	0.0001109943516	-3.11716131460079E-06	-0.02744102076	0.0005157491894	-1.41526842132786E-05	-0.02653157348	0.0004704262818	-1.24811494624999E-05	-0.02722107642	1.5753266964E-05	-4.28820883891705E-07	0.0333849776	1.4447610896E-05	4.82333166136476E-07	
0.143093549	0.0005706246552	8.16527070594693E-05	0.1428701592	0.001324667848	0.000189255506330881	0.1234960328	0.001395157798	0.000172296453182984	0.1217270862	6.71022798000001E-07	8.16816499743113E-08	0.120540152	0.001396646376	0.000168351966453289	-0.09559075666	3.670004649E-06	-3.50818521343628E-07	-0.09584564282	0.0002643189368	-2.5333818407095E-05	0.09813648322	0.0002425555762	2.38035512336687E-05	0.0923152254	0.0002363606238	2.18196842617816E-05	-0.002363016069	2.408889362E-05	-5.69224427084916E-08	-0.00241403862	4.255148184E-06	-1.02720920499989E-08	-0.0029489511898	1.863536996E-05	-5.49547964159052E-08	-0.0633188015	0.0009493579862	-6.01122098806375E-05	0.00814056159111	0.001463812406	1.19162550488739E-05	0.0057034934422	0.00147657038	8.42160947927676E-06	0.1017557775	0.001435690874	0.000146089841133525	0.1011175911	0.001564300666	0.000158178315102046	0.06984870856	0.0004909223162	3.4290289789854E-05	-0.04016409786	0.0001986368186	-7.97806862084947E-06	0.08991968652	0.0003884241906	3.49269814555367E-05	0.02134685906	0.0005312210438	1.13399007517047E-05	0.08979667926	0.0004289014696	3.85139276998138E-05	0.09080741496	0.0008705936136	7.90563555317011E-05	0.06327946558	0.00112763804	7.13563325388787E-05	0.06649988004	0.0007480904688	4.97479264342674E-05	0.0718562921	0.000970914189	6.97662935688186E-05	0.08596975288	0.001006631234	8.65398384282695E-05	-0.02407226126	0.000213534204	-5.14025114663414E-06	-0.02506980772	0.00010705652008	-2.68388637357792E-06	-0.02486759214	0.0004666592382	-1.16046916039207E-05	-0.02436401206	0.0004377630462	-1.06656641370391E-05	-0.02483789806	6.086268984E-06	-1.51170128590332E-07	0.03841831118	6.537013872E-06	2.51141033122473E-07	
0.1478148684	0.0005663127656	8.3709446920404E-05	0.1477620582	0.001321501116	0.000195267724813757	0.1296048876	0.00138664168	0.000179715539077875	0.1294296	-4.487555942E-06	-5.80822570550683E-07	0.127641479	0.001395685692	0.000178147385946018	-0.09448859668	2.64915724E-06	-2.50315149992262E-07	-0.09532944204	0.0002666556294	-2.5420132367527E-05	0.10413246012	0.0002372417354	2.47045655503401E-05	0.09846467458	0.0002420897902	2.38372924111835E-05	0.001279591975	2.107681152E-05	2.69697188795796E-08	0.00108969832	1.373097982E-06	1.49626256418079E-09	0.0009980572622	1.89235065E-05	1.88867430886139E-08	-0.06207647892	0.0009472246674	-5.88003720983601E-05	0.012183967378	0.001460748184	1.77977082213287E-05	0.0093131402202	0.0014697505	1.36879924952091E-05	0.1084176303	0.00142989184	0.000155025484878107	0.10774583674	0.001560137704	0.000168098342347102	0.0757628893	0.0004899616328	3.71209089470737E-05	-0.0380035046	0.0001904661576	-7.23838149649592E-06	0.09641221272	0.0003881641268	3.74237623633147E-05	0.02552850952	0.0005274384744	1.34647181149347E-05	0.09580788388	0.0004244532144	4.06659642777279E-05	0.0969391113	0.0008704985156	8.43853524902332E-05	0.06869455262	0.001121743908	7.70576959142704E-05	0.07283133914	0.0007344157714	5.34884841165981E-05	0.07749206558	0.000967807009	7.49973642102117E-05	0.09219592868	0.001005800583	9.27307188165704E-05	-0.02058629646	0.0002081601994	-4.28524757602111E-06	-0.02164154446	9.671413258E-05	-2.0930432001404E-06	-0.02159342772	0.0004027087764	-8.69586285540304E-06	-0.02179819732	0.0003926109266	-8.55821044801484E-06	-0.02158465732	6.31139883E-06	-1.36229380955399E-07	0.04342882246	4.52685672E-07	1.96596056794738E-08	
0.1518652426	0.000563327043	8.55497980483356E-05	0.1532849538	0.00131586306	0.000201702008359227	0.136574938	0.001379466636	0.000188400570284769	0.1370433304	-5.258043422E-06	-7.20579781938693E-07	0.1347821282	0.001382841646	0.000186382340011471	-0.09357034528	5.02660594E-07	-4.70341253392299E-08	-0.0947041606	0.0002651146544	-2.51074608077111E-05	0.11056538614	0.0002355454984	2.60431789841348E-05	0.10454246668	0.0002398481956	2.50743219967711E-05	0.004367322735	2.190746302E-05	9.56769613134178E-08	0.00409624022	2.784041082E-06	1.14041010542207E-08	0.0051245312782	1.860212342E-05	9.53271633067268E-08	-0.06055829348	0.000944436577	-5.71934674032126E-05	0.0166547905	0.001457136318	2.42683001062314E-05	0.013009652528	0.00146709358	1.90863777018596E-05	0.1144307528	0.001428706026	0.000163487906085076	0.1132446378	0.00156170391	0.000176854593638794	0.08138979602	0.000486569159	3.9601764600633E-05	-0.0361777672	0.0001929930462	-6.98205749664244E-06	0.10211839046	0.0003890898762	3.97332319018247E-05	0.02918000364	0.0005242361964	1.52972141191718E-05	0.10202200276	0.0004222116198	4.30748750405397E-05	0.10308983268	0.000860381258	8.86965599282279E-05	0.07368032368	0.001115019126	8.21549701130707E-05	0.07796741174	0.0007328146324	5.71356601734275E-05	0.08385775818	0.0009634189178	8.07901506349097E-05	0.09901125386	0.0009964188794	9.86566826191701E-05	-0.0183496031	0.00021369917	-3.92129495229943E-06	-0.01883096806	9.127026006E-05	-1.71870735201775E-06	-0.0190104866	0.0003583271442	-6.81197337323037E-06	-0.0195450233	0.0003571956728	-6.98139774753518E-06	-0.01879688396	1.95824153E-06	-3.68088388050629E-08	0.0476206119	6.346817956E-06	3.02239354682627E-07	
0.1570171694	0.0005582985062	8.76624511237724E-05	0.157835048	0.001311963056	0.000207073751917987	0.1431296088	0.001384140022	0.000198111419873283	0.1435980204	-2.090699368E-06	-3.00220290496331E-07	0.1417553688	0.00137819349	0.000195366326452709	-0.0926267079	-2.22412763E-06	2.06013620316329E-07	-0.09359693114	0.0002679016066	-2.50747682252356E-05	0.1163413222	0.0002383673846	2.77319766937199E-05	0.11032028218	0.0002395279678	2.6424792997698E-05	0.007127830772	2.0756583724E-05	1.47949416189522E-07	0.007281601944	2.4288793418E-06	1.76861325369923E-08	0.00828137473	1.864737564E-05	1.54425905405914E-07	-0.05899508986	0.0009418747474	-5.55659853597278E-05	0.01961948506	0.00145687681	2.85831728080555E-05	0.01651019936	0.001460238764	2.410883310684E-05	0.1206556564	0.001426049106	0.000172060890943063	0.1200130268	0.001556130006	0.000186755872114362	0.08709153064	0.000478623628	4.168406436299E-05	-0.034133242	0.0002022447186	-6.9032679231957E-06	0.1087732557	0.0003791628144	4.12427737626628E-05	0.0330280897	0.0005161004696	1.70458126041609E-05	0.10859062904	0.0004225318476	4.58829991203174E-05	0.10886385092	0.000863453504	9.39988735358076E-05	0.07818031084	0.001120047674	8.7565675308939E-05	0.08298044814	0.0007277259216	6.03870230974625E-05	0.09007823794	0.0009498393192	8.55598521996652E-05	0.10487851788	0.0009949128374	0.000104344983806297	-0.015628417322	0.000216866514	-3.38928038395936E-06	-0.01588275416	8.62766471E-05	-1.37031077563838E-06	-0.015842212718	0.000296393147	-4.69552328293144E-06	-0.01717327536	0.000321840583	-5.52705695388194E-06	-0.01620315812	3.14405477E-06	-5.09436165762502E-08	0.05229184354	7.757761038E-06	4.05667626419804E-07	
0.161696015	0.0005538508598	8.95554769339837E-05	0.1623014282	0.001308413066	0.000212357309287341	0.1509982594	0.00138225359	0.000208717886139401	0.1502693856	2.0863332E-08	3.13512008120882E-09	0.1488585944	0.001376402154	0.000204889289973572	-0.09185175136	-3.27990897E-06	3.01265383195874E-07	-0.0925632574	0.000267451347	-2.47561678743377E-05	0.1226442438	0.0002352000406	2.88459311211163E-05	0.1171527336	0.0002341791932	2.74347326356225E-05	0.009880724944	2.1942396964E-05	2.16806789013345E-07	0.01039534515	6.8771345898E-06	7.14901877039747E-08	0.011204202666	1.905926314E-05	2.13543846885184E-07	-0.05764241442	0.0009387200216	-5.41100885094186E-05	0.02308767778	0.001455353012	3.36007213972085E-05	0.01968671358	0.0014657428	2.88556586855472E-05	0.1267594418	0.001418398574	0.000179795411490156	0.126294379	0.001553758378	0.000196230949465557	0.09191241808	0.0004863440292	4.47010557425421E-05	-0.03205448332	0.0002019846548	-6.47451374818256E-06	0.1148592882	0.0003795432062	4.35940625052778E-05	0.03737145288	0.0005120675402	1.91367079499618E-05	0.1149804162	0.0004179186266	4.80524576242004E-05	0.1153487632	0.0008606665518	9.92768222777387E-05	0.0845028839	0.001116300038	9.43305725086796E-05	0.08844309776	0.0007256492928	6.41786713425853E-05	0.09481159496	0.000955248258	9.05686109237416E-05	0.11008180452	0.0009884481178	0.000108810152481822	-0.012909775914	0.0002166413842	-2.79679172372078E-06	-0.012637127268	7.75353985E-05	-9.79824698619596E-07	-0.012932675328	0.000243840854	-3.15351459648425E-06	-0.01444384925	0.0002779092104	-4.01407874020413E-06	-0.013485143174	6.061038898E-06	-8.17339773227132E-08	0.05676963482	1.1635428558E-05	6.60539030211859E-07	
0.1661319592	0.0005511985258	9.15716909993058E-05	0.1668730726	0.00130388692	0.00021758361666335	0.1585333646	0.001369514346	0.000217113717139349	0.1572400626	3.54336912E-06	5.57159582243707E-07	0.1557271782	0.001369487174	0.000213266373188112	-0.09170334846	1.52350802E-06	-1.39710786839665E-07	-0.09184856606	0.000265945306	-2.44266950064879E-05	0.1290251642	0.0002353300724	3.03635012326079E-05	0.1231322104	0.0002308818172	2.84289884930047E-05	0.012723029022	2.1847299004E-05	2.77963819280204E-07	0.014221861792	3.5797586478E-06	5.09108327377284E-08	0.014359793212	1.88163788E-05	2.70199308566661E-07	-0.05644830014	0.0009367390828	-5.28773288987627E-05	0.02632253926	0.001454743492	3.82925426813995E-05	0.02327543668	0.00145882782	3.39548545514324E-05	0.1330122566	0.001411483596	0.000187744618257843	0.1326131354	0.0015505561	0.000205624106034596	0.0975171289	0.0004863789632	4.74302800486228E-05	-0.03019069588	0.0001959352606	-5.91542186494315E-06	0.120563548	0.0003785825228	4.56432521595589E-05	0.04122523488	0.0005152348844	2.12406791277597E-05	0.121505277	0.0004152267722	5.04522439739769E-05	0.1214753708	0.0008559931668	0.000103982087339296	0.08953999554	0.001120298034	0.000100311480967831	0.09471683602	0.0007232175024	6.85008735816147E-05	0.1004239197	0.0009526864356	9.56725061079736E-05	0.1160207256	0.0009888634438	0.000114728654268991	-0.010464452994	0.000221634997	-2.31928900793183E-06	-0.010161368158	7.177129812E-05	-7.29294583374893E-07	-0.009550702426	0.000178454219	-1.70436314233324E-06	-0.011082819296	0.00022017310866	-2.44013877711735E-06	-0.010999871558	9.738806648E-06	-1.07125622256197E-07	0.06081049626	1.8455310302E-05	1.12227657809691E-06	
0.1699616468	0.000549719979	9.34313129097014E-05	0.1715100516	0.001299587038	0.000222892239946071	0.1656346918	0.001366822492	0.000226393222207728	0.1644745456	2.39248982E-06	3.93503675997126E-07	0.1627308356	0.001370282892	0.000222987280023545	-0.0916475263	3.635070722E-06	-3.33145239596855E-07	-0.09119284844	0.000262743028	-2.39602851310707E-05	0.1356179042	0.0002278697352	3.0903215918433E-05	0.129868891	0.0002242870652	2.91279124231687E-05	0.016445553758	2.1301941364E-05	3.50322221851426E-07	0.017709744552	2.6190752498E-06	4.63831536364236E-08	0.01756040194	1.857349446E-05	3.26158028147963E-07	-0.05539622782	0.0009351081562	-5.18014644571953E-05	0.03017886564	0.00145236729	4.38307973048409E-05	0.02690980442	0.001459918534	3.92861222190731E-05	0.1392720394	0.001404983942	0.000195674978926591	0.1393257216	0.001546488238	0.000215465589705263	0.10198413562	0.0004887156558	4.98412437207244E-05	-0.02743465016	0.0002008337756	-5.50980437389794E-06	0.126504994	0.0003795432062	4.80141110230718E-05	0.04541447994	0.0005133484514	2.33134529483354E-05	0.1277029152	0.0004178836924	5.33649657340201E-05	0.1268004022	0.0008581047296	0.000108808024843002	0.09515866192	0.001113478152	0.000105957091021474	0.09957767226	0.0007297171564	7.26635358424984E-05	0.10648014242	0.0009541575428	0.000101598831048461	0.121982469	0.0009843802548	0.000120077133915353	-0.00778131725	0.0002176622314	-1.69369887586631E-06	-0.0073672530952	7.68949429E-05	-5.66504506085252E-07	-0.00706795591	0.00014477013598	-1.02322893819134E-06	-0.0076666129056	0.000154596277612	-1.18522981709788E-06	-0.008278059302	4.260000118E-06	-3.5264533603331E-08	0.0656174282	2.1147164596E-05	1.38762255451161E-06	
0.17489414	0.0005461081134	9.55111088401155E-05	0.175627659	0.001297848984	0.000227938178795448	0.1731108042	0.0013587217	0.000235209406170991	0.171445849	-1.034918024E-06	-1.77432399270082E-07	0.1699786478	0.001370187794	0.000232902668456185	-0.09135898008	7.382706364E-06	-6.74476523645165E-07	-0.09021118028	0.0002607265632	-2.352045099662E-05	0.1423977044	0.0002174322498	3.09618532340474E-05	0.1362301406	0.0002236116758	3.04626500340356E-05	0.01998606856	2.1336875304E-05	4.26440252681915E-07	0.0216846641	-5.1614898902E-06	-1.11925174524533E-07	0.02052953952	1.889487754E-05	3.8790313518299E-07	-0.05387741594	0.0009317557982	-5.02005946941281E-05	0.03337058832	0.001452107782	4.84576909893903E-05	0.0313920387	0.001452328166	4.5591541992172E-05	0.1457055918	0.001394381492	0.000203169180486827	0.1465767044	0.001535315198	0.000225041441938074	0.10685321216	0.000488265396	5.21727259491744E-05	-0.02531402486	0.0001994577664	-5.04907885716967E-06	0.133039994	0.0003757354066	4.99878362396516E-05	0.04991511282	0.0005047023008	2.51922722849456E-05	0.1337217336	0.0004142311548	5.5391708130986E-05	0.1330170656	0.0008595758366	0.000114338255445197	0.10055092676	0.001113443218	0.000111957747464537	0.10438712944	0.0007276055938	7.59526593012687E-05	0.1114443442	0.0009556635838	0.000106503301372413	0.1271280348	0.0009885432162	0.000125671556390378	-0.004521108348	0.000207129648	-9.36455580691102E-07	-0.0047380215868	7.859117986E-05	-3.72366706708761E-07	-0.004020819578	8.533779726E-05	-3.43127885966403E-07	-0.00506908978574	0.000106111847972	-5.37890484700861E-07	-0.0052943397262	4.164902158E-06	-2.20504069508355E-08	0.0704598851	1.6308813662E-05	1.14911713674183E-06	
