EC-Lab ASCII FILE
Nb header lines : 54                          

Cyclic Voltammetry

Run on channel : 2 (SN 2827)
User : 
Electrode connection : standard
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Ewe,I filtering : 50 kHz
Channel : Floating
Acquisition started on : 09/05/2019 17:27:53
Saved on :
	File : 180_11.4_FTO_02_CV_C02.mpr
	Directory : C:\Data\Justin\09_04_2019_pvd_SnOxCV\
	Host : 192.109.209.127
Device : VSP-300 (SN 0229)
Address : 192.109.209.128
EC-Lab for windows v10.40 (software)
Internet server v10.40 (firmware)
Command interpretor v10.40 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Ei (V)              0.000               
vs.                 Eoc                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              1.500               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   
E2 (V)              -0.600              
vs.                 Ref                 
nc cycles           3                   
Reverse Scan        1                   
Ef (V)              0.000               
vs.                 Eoc                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	Rcmp/Ohm	P/W
2	1	0	1	0	5.2151	0.223639399	0.223997369	0.00013836988160552096	1	1.36261448E-007	22.8278179	3.09944888E-008
2	1	0	1	0	5.2651	0.224639401	0.224882096	0.00014197807323162775	1	1.4429861E-007	22.8278179	3.19283266E-008
2	1	0	1	0	5.3151	0.225639403	0.226012915	0.0001425241665731717	1	1.5247754E-007	22.8278179	3.22123022E-008
2	1	0	1	0	5.3651	0.226639375	0.226987302	0.000150833994481488	1	1.60842774E-007	22.8278179	3.42374022E-008
2	1	0	1	0	5.4151	0.227639392	0.227955997	0.00015043683678144307	1	1.69387633E-007	22.8278179	3.42929773E-008
2	1	0	1	0	5.4651	0.228639409	0.22905916	0.00015371324757830365	1	1.78066443E-007	22.8278179	3.52094283E-008
2	1	0	1	0	5.5151	0.229639396	0.229931504	0.00015569993681091793	1	1.86922321E-007	22.8278179	3.58003192E-008
2	1	0	1	0	5.5651	0.230639383	0.231007963	0.00016295220334709639	1	1.96021745E-007	22.8278179	3.76432574E-008
2	1	0	1	0	5.6151	0.2316394	0.232085377	0.00016142044858969253	1	2.05210071E-007	22.8278179	3.74633267E-008
2	1	0	1	0	5.6651	0.232639402	0.233010188	0.00017218549545658705	1	2.14641844E-007	22.8278179	4.01209732E-008
2	1	0	1	0	5.7151	0.233639389	0.23383674	0.00017283001751719788	1	2.24222461E-007	22.8278179	4.04140081E-008
2	1	0	1	0	5.7651	0.234639406	0.235026687	0.00017350348422985086	1	2.33959497E-007	22.8278179	4.07779481E-008
2	1	0	1	0	5.8151	0.235639393	0.235917151	0.00017896198748227699	1	2.43896437E-007	22.8278179	4.22202007E-008
2	1	0	1	0	5.8651	0.23663938	0.23698315	0.00018249439753398496	1	2.54044465E-007	22.8278179	4.32480967E-008
2	1	0	1	0	5.9151	0.237639397	0.238111079	0.00018607519602179923	1	2.64338325E-007	22.8278179	4.43065673E-008
2	1	0	1	0	5.9651	0.238639414	0.238806993	0.00019235629915109916	1	2.74825766E-007	22.8278179	4.59360301E-008
2	1	0	1	0	6.0151	0.239639387	0.240035117	0.00019175737445577875	1	2.85507042E-007	22.8278179	4.60285037E-008
2	1	0	1	0	6.0651	0.240639389	0.240929365	0.00019853614559098049	1	2.96373912E-007	22.8278179	4.78331863E-008
2	1	0	1	0	6.1151	0.241639405	0.242133677	0.00020309644009507317	1	3.07403354E-007	22.8278179	4.91764887E-008
2	1	0	1	0	6.1651	0.242639393	0.24300313	0.00020537375945019112	1	3.18654912E-007	22.8278179	4.99064647E-008
2	1	0	1	0	6.2151	0.243639395	0.243990898	0.00021139690731312544	1	3.30095958E-007	22.8278179	5.15789225E-008
2	1	0	1	0	6.2651	0.244639382	0.2449729	0.00021223627094581459	1	3.41715747E-007	22.8278179	5.1992135E-008
2	1	0	1	0	6.3151	0.245639399	0.245936826	0.00021799848285876606	1	3.53556231E-007	22.8278179	5.36138565E-008
2	1	0	1	0	6.3651	0.246639386	0.247039989	0.00022185862218504059	1	3.65622952E-007	22.8278179	5.4807952E-008
2	1	0	1	0	6.4151	0.247639403	0.248132646	0.00022245718594570557	1	3.77831441E-007	22.8278179	5.5198889E-008
2	1	0	1	0	6.4651	0.24863939	0.249020249	0.00022838827357595133	1	3.90242349E-007	22.8278179	5.68733043E-008
2	1	0	1	0	6.5151	0.249639407	0.250018477	0.00023460065154655226	1	4.02932443E-007	22.8278179	5.86544964E-008
2	1	0	1	0	6.5651	0.250639379	0.251092106	0.00023552623430010428	1	4.15733922E-007	22.8278179	5.91387774E-008
2	1	0	1	0	6.6151	0.251639396	0.251916736	0.00024363837113654512	1	4.28783125E-007	22.8278179	6.1376582E-008
2	1	0	1	0	6.6651	0.252639383	0.25300467	0.00024474063852890273	1	4.42053192E-007	22.8278179	6.19205238E-008
2	1	0	1	0	6.7151	0.2536394	0.253981918	0.0002514257725528702	1	4.55497229E-007	22.8278179	6.38575983E-008
2	1	0	1	0	6.7651	0.254639387	0.255116522	0.00025717416836549363	1	4.69153065E-007	22.8278179	6.56093775E-008
2	1	0	1	0	6.8151	0.255639404	0.256068081	0.00026113909229429273	1	4.83071346E-007	22.8278179	6.68693829E-008
2	1	0	1	0	6.8651	0.256639391	0.257007182	0.00026189242018719808	1	4.97158112E-007	22.8278179	6.73082354E-008
2	1	0	1	0	6.9151	0.257639378	0.258119851	0.0002654470780288202	1	5.11481858E-007	22.8278179	6.85171599E-008
2	1	0	1	0	6.9651	0.258639395	0.25899601	0.00027243609208569284	1	5.26048211E-007	22.8278179	7.05598637E-008
2	1	0	1	0	7.0151	0.259639412	0.260017157	0.0002750722304780428	1	5.40818007E-007	22.8278179	7.15235018E-008
2	1	0	1	0	7.0651	0.260639369	0.260916203	0.00028225895800494173	1	5.55793576E-007	22.8278179	7.36459356E-008
2	1	0	1	0	7.1151	0.261639386	0.262051791	0.00028706201458219335	1	5.71024941E-007	22.8278179	7.52251168E-008
2	1	0	1	0	7.1651	0.262639374	0.263040513	0.0002911131321323223	1	5.86460544E-007	22.8278179	7.6574544E-008
2	1	0	1	0	7.2151	0.26363942	0.264009178	0.00029324345214937122	1	6.02102546E-007	22.8278179	7.74189601E-008
2	1	0	1	0	7.2651	0.264639378	0.265075147	0.00029872280150879463	1	6.18026945E-007	22.8278179	7.91839909E-008
2	1	0	1	0	7.3151	0.265639365	0.265968472	0.00030334614732257549	1	6.34163655E-007	22.8278179	8.06805147E-008
2	1	0	1	0	7.3651	0.266639411	0.267024904	0.00030508039866685051	1	6.50515631E-007	22.8278179	8.14640657E-008
2	1	0	1	0	7.4151	0.267639369	0.26801455	0.00031175582811287031	1	6.67124766E-007	22.8278179	8.35551006E-008
